등급,어휘,표준동형어번호,품사,어종,원어,의미,분야
2등급,감탄하다,0,동사,혼종어,感歎하다/感嘆하다,마음속 깊이 느끼어 탄복하다.,일반어
2등급,값싸다,0,형용사,고유어,,"「1」물건 따위의 값이 낮다.
「2」가치나 보람이 적고 보잘것없다.",일반어/일반어
2등급,강강술래,0,명사,고유어,,정월 대보름날이나 팔월 한가위에 남부 지방에서 행하는 민속놀이. 여러 사람이 함께 손을 잡고 원을 그리며 빙빙 돌면서 춤을 추고 노래를 부른다. 2009년에 유네스코 세계 무형유산으로 지정되었다. 우리나라 국가 무형유산이다.,전문어(민속)
2등급,강당,0,명사,한자어,講堂,"「1」강연이나 강의, 의식 따위를 할 때에 쓰는 건물이나 큰 방.
「2」경(經)과 논(論)을 연구하고 학습하는 곳. 재래식 불교 학교를 이른다.",일반어/전문어(불교)
2등급,강도,6,명사,한자어,強盜,폭행이나 협박 따위로 남의 재물을 빼앗는 도둑. 또는 그런 행위.,일반어
2등급,강력,2,명사,한자어,強力,힘이나 영향이 강함.,일반어
2등급,강력하다,0,형용사,혼종어,強力하다,"「1」힘이나 영향이 강하다.
「2」가능성이 크다.",일반어
2등급,강렬하다,2,형용사,혼종어,強烈하다,강하고 세차다.,일반어
2등급,강제,1,명사,한자어,強制,권력이나 위력(威力)으로 남의 자유의사를 억눌러 원하지 않는 일을 억지로 시킴.,일반어
2등급,강조,2,명사,한자어,強調,어떤 부분을 특별히 강하게 주장하거나 두드러지게 함.,일반어
2등급,갖추다,0,동사,고유어,,"「1」있어야 할 것을 가지거나 차리다.
「2」필요한 자세나 태도 따위를 취하다.
「3」지켜야 할 도리나 절차를 따르다.",일반어/일반어/일반어
2등급,개다,1,동사,고유어,,"「1」흐리거나 궂은 날씨가 맑아지다.
「2」(비유적으로) 언짢거나 우울한 마음이 개운하고 홀가분해지다.",일반어
2등급,개발,0,명사,한자어,開發,"「1」토지나 천연자원 따위를 유용하게 만듦.
「2」지식이나 재능 따위를 발달하게 함.
「3」산업이나 경제 따위를 발전하게 함.
「4」새로운 물건을 만들거나 새로운 생각을 내어놓음.",일반어/일반어/일반어/일반어
2등급,개발되다,0,동사,혼종어,開發되다,"「1」토지나 천연자원 따위가 유용하게 되다.
「2」지식이나 재능 따위가 발달하게 되다.
「3」산업이나 경제 따위가 발전하게 되다.
「4」새로운 물건이 만들어지거나 새로운 생각이 나오다.",일반어/일반어/일반어/일반어
2등급,개발하다,0,동사,혼종어,開發하다,"「1」토지나 천연자원 따위를 유용하게 만들다.
「2」지식이나 재능 따위를 발달하게 하다.
「3」산업이나 경제 따위를 발전하게 하다.
「4」새로운 물건을 만들거나 새로운 생각을 내어놓다.",일반어/일반어/일반어/일반어
2등급,개성,3,명사,한자어,個性,다른 사람이나 개체와 구별되는 고유의 특성.,일반어
2등급,갯벌,0,명사,고유어,,"밀물 때는 물에 잠기고 썰물 때는 물 밖으로 드러나는 모래 점토질의 평탄한 땅. 펄 갯벌, 혼성 갯벌, 모래 갯벌 따위가 있으며 생물상이 다양하게 분포한다.",일반어
2등급,거두다,2,동사,고유어,,"[1]「1」익은 곡식이나 열매 따위를 따서, 담거나 한데 모으다.
[1]「2」흩어져 있는 물건 따위를 한데 모으다.
[1]「3」좋은 결과나 성과 따위를 얻다.
[1]「4」시체, 유해 따위를 수습하다.
[1]「5」고아, 식구 따위를 보살피다.
[1]「6」집안일, 밭일 따위를 돌보아 살피다.
[2]여러 사람에게서 돈이나 물건 따위를 받아들이다.",일반어/일반어/일반어/일반어/일반어/일반어
2등급,거둬들이다,0,동사,고유어,,"[1]「1」‘거두어들이다[1]「1」’의 준말.
[1]「2」‘거두어들이다[1]「2」’의 준말.
[1]「3」‘거두어들이다[1]「3」’의 준말.
[1]「4」‘거두어들이다[1]「4」’의 준말.
[1]「5」‘거두어들이다[1]「5」’의 준말.
[1]「6」‘거두어들이다[1]「7」’의 준말.
[1]「7」‘거두어들이다[1]「8」’의 준말.
[1]「8」‘거두어들이다[1]「9」’의 준말.
[1]「9」‘거두어들이다[1]「10」’의 준말.
[1]「10」‘거두어들이다[1]「11」’의 준말.
[2]‘거두어들이다[2]’의 준말.",일반어/일반어/일반어/일반어/일반어/일반어/일반어/일반어/일반어/일반어
2등급,거들다,1,동사,고유어,,"「1」남이 하는 일을 함께 하면서 돕다.
「2」남의 말이나 행동에 끼어들어 참견하다.",일반어/일반어
2등급,거름,0,명사,고유어,,"식물이 잘 자라도록 땅을 기름지게 하기 위하여 주는 물질. 똥, 오줌, 썩은 동식물, 광물질 따위가 있다.",일반어
2등급,거리,2,의존명사,고유어,,"「1」어떤 행동을 하는 데 쓰이는 대상이나 소재.
「2」제시한 시간 동안 해낼 만한 일.
「3」제시한 수가 처리할 만한 것.
「4」‘재료’, ‘대상’, ‘소재’의 뜻을 나타내는 말.",일반어
2등급,거만하다,0,형용사,혼종어,倨慢하다,잘난 체하며 남을 업신여기는 데가 있다.,일반어
2등급,거부,2,명사,한자어,拒否,요구나 제의 따위를 받아들이지 않고 물리침.,일반어
2등급,거부하다,0,동사,혼종어,拒否하다,요구나 제의 따위를 받아들이지 않고 물리치다.,일반어
2등급,거북선,0,명사,혼종어,거북船,"임진왜란 때 이순신이 만들어 왜군을 무찌르는 데 크게 이바지한 거북 모양의 철갑선. 세계 최초의 철갑선으로, 등에는 창검과 송곳을 꽂아 적이 오르지 못하게 하였고, 앞머리와 옆구리 사방에는 화포를 설치하였다.",전문어(역사)
2등급,거슬리다,0,동사,고유어,,순순히 받아들여지지 않고 언짢은 느낌이 들며 기분이 상하다.,일반어
2등급,거위,1,명사,고유어,,"오릿과의 새. 크기와 색깔이 다른 여러 품종이 있으며, 목이 길다. 헤엄은 잘 치나 잘 날지는 못한다. 12~1월에 10~20개의 알을 낳는다. 기러기를 식육용(食肉用)으로 개량한 변종으로, 밤눈이 밝아서 개 대신으로 기르기도 한다.",전문어(동물)
2등급,건너뛰다,0,동사,고유어,,"「1」일정한 공간을 사이에 두고 건너편으로 뛰다.
「2」차례를 거치지 않고 거르다.",일반어/일반어
2등급,건네다,0,동사,고유어,,"[1]「1」돈이나 물건 따위를 남에게 옮기다.
[1]「2」남에게 말을 붙이다.
[2]무엇을 사이에 두고 한편에서 맞은편으로 가게 하다. ‘건너다「1」’의 사동사.",일반어
2등급,건네주다,0,동사,고유어,,"「1」돈, 물건 따위를 남에게 옮기어 주다.
「2」건너게 하여 주다.",일반어
2등급,건방지다,0,형용사,고유어,,잘난 체하거나 남을 낮추어 보듯이 행동하는 데가 있다.,일반어
2등급,걷다,3,동사,고유어,,"「1」늘어진 것을 말아 올리거나 열어 젖히다.
「2」널거나 깐 것을 다른 곳으로 치우거나 한곳에 두다.
「3」‘거두다01「2」’의 준말.",일반어
2등급,걷다,4,동사,고유어,,"[1]「1」‘거두다02[1]「1」’의 준말.
[1]「2」‘거두다02[1]「2」’의 준말.
[2]‘거두다02[2]’의 준말.",일반어
2등급,걸려들다,0,동사,고유어,,"「1」그물이나 낚시 따위에 걸리어 벗어나지 못하게 되다.
「2」어떤 꾀나 꾸며 놓은 구렁에 빠지다.
「3」피하지 못하고 맞닥치다.",일반어/일반어/일반어
2등급,검,3,명사,한자어,劍,"「1」무기로 쓰는 크고 긴 칼. 칼날이 양쪽에 있는 것을 이른다.
「2」의장(儀仗)으로 쓰는 큰 칼.",일반어/일반어
2등급,검토,0,명사,한자어,檢討,어떤 사실이나 내용을 분석하여 따짐.,일반어
2등급,검토하다,0,동사,혼종어,檢討하다,어떤 사실이나 내용을 분석하여 따지다.,일반어
2등급,겁주다,0,동사,혼종어,怯주다,상대편에게 겁을 집어먹도록 하다.,일반어
2등급,겉보기,0,명사,고유어,,겉으로 드러나 보이는 모양새.,일반어
2등급,게다가,0,부사/품사없음,고유어,,"[Ⅰ]그러한 데다가.
[Ⅱ]‘거기에다가’가 줄어든 말.",일반어/일반어
2등급,게시판,0,명사,한자어,揭示板,"「1」여러 사람에게 알릴 내용을 내붙이거나 내걸어 두루 보게 붙이는 판(板).
「2」인터넷상에서 여러 사람에게 알리는 글을 볼 수 있으면서, 자신의 글을 올릴 수도 있는 공간.",일반어/일반어
2등급,겨울날,0,명사,고유어,,겨울철의 날. 또는 그날의 날씨.,일반어
2등급,겨울바람,0,명사,고유어,,겨울에 부는 찬 바람.,일반어
2등급,겨울잠,0,명사,고유어,,"「1」겨울이 되면 동물이 활동을 중단하고 땅속 따위에서 겨울을 보내는 일. 박쥐, 고슴도치, 다람쥐 따위의 포유류에서 볼 수 있으나 넓은 의미로는 곤충, 개구리, 뱀 따위의 변온 동물의 월동도 포함한다.
「2」발전이 없는 상태가 오랫동안 지속되는 일을 비유적으로 이르는 말.",전문어(동물)/일반어
2등급,겨자,1,명사,고유어,,"「1」십자화과의 한해살이풀 또는 두해살이풀. 높이는 1미터 정도이며, 봄에 십자 모양의 노란 꽃이 총상(總狀) 화서로 핀다. 씨는 누런 갈색으로 익는데 양념과 약재로 쓰고 잎과 줄기는 식용한다. 아시아가 원산지로 밭에서 가꾼다.
「2」겨자씨로 만든 양념. 겨자씨를 물에 불려 매에 갈아서 꿀이나 설탕, 소금과 초를 치고 더운 김을 들이면서 자꾸 저어 만든다.",전문어(식물)/일반어
