등급,어휘,표준동형어번호,품사,어종,원어,의미,분야
2등급,단위,2,명사,한자어,單位,"「1」길이, 무게, 수효, 시간 따위의 수량을 수치로 나타낼 때 기초가 되는 일정한 기준. 근, 되, 자, 그램, 리터, 미터, 초 따위가 있다.
「2」하나의 조직 따위를 구성하는 기본적인 한 덩어리.
「3」일정한 학습량. 흔히 학습 시간을 기준으로 하여 정한다.",일반어/일반어/일반어
2등급,단장,1,명사,한자어,丹粧,"「1」얼굴, 머리, 옷차림 따위를 곱게 꾸밈.
「2」건물, 거리 따위를 손질하여 꾸밈.",일반어/일반어
2등급,단점,1,명사,한자어,短點,잘못되고 모자라는 점.,일반어
2등급,단지,3,부사,한자어,但只,"「1」다른 것이 아니라 오로지.
「2」앞의 말을 받아 예외적인 사항이나 조건을 덧붙일 때 그 말머리에 쓰는 말.",일반어/일반어
2등급,단짝,0,명사,혼종어,單짝,서로 뜻이 맞거나 매우 친하여 늘 함께 어울리는 사이. 또는 그러한 친구.,일반어
2등급,달다,1,동사,고유어,,"「1」타지 않는 단단한 물체가 열로 몹시 뜨거워지다.
「2」물기가 많은 음식이나 탕약 따위에 열을 가하여 물이 졸아들다.
「3」열이 나거나 부끄러워서 몸이나 몸의 일부가 뜨거워지다.
「4」입안이나 코안이 마르고 뜨거워지다.
「5」안타깝거나 조마조마하여 마음이 몹시 조급해지다.",일반어/일반어/일반어/일반어/일반어
2등급,달리,1,부사,고유어,,사정이나 조건 따위가 서로 같지 않게.,일반어
2등급,달리하다,1,동사,고유어,,어떠한 사정이나 조건 따위를 서로 다르게 가지다.,일반어
2등급,담,3,명사,고유어,,"「1」‘다음01「1」’의 준말.
「2」‘다음01「2」’의 준말.
「3」‘다음01「3」’의 준말.
「4」‘다음01「4」’의 준말.
「5」‘다음01「5」’의 준말.
「6」‘다음01「6」’의 준말.
「7」‘다음01「7」’의 준말.
「8」‘다음01「8」’의 준말.
「9」‘다음01「9」’의 준말.
「10」‘다음01「10」’의 준말.",일반어/일반어/일반어/일반어/일반어/일반어/일반어/일반어/일반어/일반어
2등급,담기다,1,동사,고유어,,"「1」어떤 물건이 그릇 따위에 넣어지다. ‘담다「1」’의 피동사.
「2」어떤 내용이나 사상이 그림, 글, 말, 표정 따위 속에 포함되거나 반영되다. ‘담다「2」’의 피동사.",일반어/일반어
2등급,담당,0,명사,한자어,擔當,"「1」어떤 일을 맡음.
「2」어떤 일을 맡아서 하는 사람.",일반어/일반어
2등급,담당자,0,명사,한자어,擔當者,어떤 일을 맡아서 하는 사람.,일반어
2등급,담당하다,0,동사,혼종어,擔當하다,어떤 일을 맡다.,일반어
2등급,담벼락,0,명사,고유어,,"「1」담이나 벽의 표면.
「2」담이나 벽 따위를 통틀어 이르는 말.
「3」아주 미련하여 어떤 사물에 대하여 전혀 이해하지 못하는 사람을 비유적으로 이르는 말.",일반어/일반어/일반어
2등급,답변,0,명사,한자어,答辯,물음에 대하여 밝혀 대답함. 또는 그런 대답.,일반어
2등급,답변하다,0,동사,혼종어,答辯하다,물음에 대하여 밝혀 대답하다.,일반어
2등급,답안지,0,명사,한자어,答案紙,문제의 해답을 쓰는 종이.,일반어
2등급,당나귀,0,명사,혼종어,唐나귀,"말과의 포유류. 말과 비슷한데 몸은 작고 앞머리의 긴 털이 없으며 귀가 길다. 털빛은 대부분 누런 갈색ㆍ잿빛 황색ㆍ잿빛 흑색이며, 어깨ㆍ다리에 짙은 줄무늬가 있고 허리뼈가 다섯 개이다. 병에 대한 저항력이 강하여 부리기에 적당하다. 아프리카의 야생종을 가축화한 것으로 전 세계에 분포한다.",전문어(동물)
2등급,당당하다,0,형용사,혼종어,堂堂하다,"「1」남 앞에 내세울 만큼 모습이나 태도가 떳떳하다.
「2」힘이나 세력이 크다.",일반어/일반어
2등급,당당히,0,부사,혼종어,堂堂히,"「1」남 앞에서 내세울 만큼 떳떳한 모습이나 태도로.
「2」힘이나 세력이 크게.",일반어
2등급,당번,1,명사,한자어,當番,어떤 일을 책임지고 돌보는 차례가 됨. 또는 그 차례가 된 사람.,일반어
2등급,당분간,0,명사/부사,한자어,當分間,"[Ⅰ]앞으로 얼마간. 또는 잠시 동안.
[Ⅱ]앞으로 얼마간의 시간에. 또는 잠시 동안에.",일반어
2등급,당선,4,명사,한자어,當選,"「1」선거에서 뽑힘.
「2」심사나 선발에서 뽑힘.",일반어/일반어
2등급,당선되다,0,동사,혼종어,當選되다,"「1」선거에서 뽑히게 되다.
「2」심사나 선발에서 뽑히게 되다.",일반어/일반어
2등급,당일,0,명사,한자어,當日,일이 있는 바로 그날.,일반어
2등급,대규모,0,명사,한자어,大規模,넓고 큰 범위나 크기.,일반어
2등급,대기실,0,명사,한자어,待機室,대기하는 사람이 기다리도록 마련된 방.,일반어
2등급,대다수,0,명사,한자어,大多數,"「1」거의 모두 다.
「2」대단히 많은 수.",일반어/일반어
2등급,대량,1,명사,한자어,大量,"「1」아주 많은 분량이나 수량.
「2」도량이 큼. 또는 큰 도량.",일반어/일반어
2등급,대롱대롱,0,부사,고유어,,작은 물건이 매달려 가볍게 잇따라 흔들리는 모양.,일반어
2등급,대본,3,명사,한자어,臺本,"「1」연극의 상연이나 영화 제작에 있어서 기본이 되는 글.
「2」어떤 일을 하는 데 토대가 되는 책.
「3」어떤 일을 도모하여 미리 짜 놓은 계획.",전문어(문학)/일반어/일반어
2등급,대비,9,명사,한자어,對備,앞으로 일어날지도 모르는 어떠한 일에 대응하기 위하여 미리 준비함. 또는 그런 준비.,일반어
2등급,대비하다,4,동사,혼종어,對備하다,앞으로 일어날지도 모르는 어떠한 일에 대응하기 위하여 미리 준비하다.,일반어
2등급,대상,11,명사,한자어,對象,"「1」어떤 일의 상대 또는 목표나 목적이 되는 것.
「2」정신 또는 인식의 목적이 개념이나 언어에 의하여 표상이 된 것. 나무나 돌과 같은 실재적 대상, 원(圓)이나 각(角)과 같은 비실재적(非實在的) 대상, 진리나 가치와 같은 타당적(妥當的) 대상의 세 가지가 있다.",일반어/전문어(철학)
2등급,대상자,3,명사,한자어,對象者,대상이 되는 사람이나 집단.,일반어
2등급,대야,1,명사,고유어,,물을 담아서 무엇을 씻을 때 쓰는 둥글넓적한 그릇.,일반어
2등급,대여,2,명사,한자어,貸與,물건이나 돈을 나중에 도로 돌려받기로 하고 얼마 동안 내어줌.,일반어
2등급,대접,4,명사,한자어,待接,"「1」마땅한 예로써 대함.
「2」음식을 차려 접대함.",일반어/일반어
2등급,대접하다,0,동사,혼종어,待接하다,"「1」마땅한 예로써 대하다.
「2」음식을 차려 접대하다.",일반어
2등급,대책,3,명사,한자어,對策,"「1」어떤 일에 대처할 계획이나 수단.
「2」예전에, 벼슬이 높은 사람이 임금의 물음에 대답하여 쓴 글.
「3」조선 시대에, 시정(時政)의 문제를 제시하고 그 대책을 논의하게 한 과거 시험 과목.",일반어/일반어/전문어(역사)
2등급,대체로,0,부사,혼종어,大體로,"「1」요점만 말해서.
「2」전체로 보아서. 또는 일반적으로.",일반어
2등급,대표적,0,명사/관형사,한자어,代表的,"[Ⅰ]어떤 분야나 집단에서 무엇을 대표할 만큼 전형적이거나 특징적인 것.
[Ⅱ]어떤 분야나 집단에서 무엇을 대표할 만큼 전형적이거나 특징적인.",일반어/일반어
2등급,대표하다,0,동사,혼종어,代表하다,"「1」전체의 상태나 성질을 어느 하나로 잘 나타내다.
「2」조직이나 집단을 대신하여 일을 맡아 하거나, 여러 사람의 의사를 대신하여 나타내다.
「3」어떤 사람이나 기관의 행위가 곧 그가 속한 단체나 법인이 행위한 것과 같은 법률 효과를 발생시키다. 또는 그러한 권한을 가지다.",일반어/일반어/전문어(법률)
2등급,대피,2,명사,한자어,待避,위험이나 피해를 입지 않도록 일시적으로 피함.,일반어
2등급,대피하다,0,동사,혼종어,待避하다,위험이나 피해를 입지 않도록 일시적으로 피하다.,일반어
2등급,대학,1,명사,한자어,大學,"「1」고등 교육을 베푸는 교육 기관. 국가와 인류 사회 발전에 필요한 학술 이론과 응용 방법을 교수하고 연구하며, 지도적 인격을 도야한다. 고등학교 졸업자 또는 이와 동등한 학력이 있다고 인정된 사람이 입학하며 수업 연한은 2년에서 6년까지이다.
「2」한 가지 계통의 학부로만 구성된 대학.",전문어(교육)/전문어(교육)
2등급,대학교,0,명사,한자어,大學校,"「1」고등 교육을 베푸는 교육 기관. 국가와 인류 사회 발전에 필요한 학술 이론과 응용 방법을 교수하고 연구하며, 지도적 인격을 도야한다. 고등학교 졸업자 또는 이와 동등한 학력이 있다고 인정된 사람이 입학하며 수업 연한은 2년에서 6년까지이다.
「2」예전에, 종합 대학을 단과 대학과 구별하여 이르던 말.",전문어(교육)
2등급,대학생,0,명사,한자어,大學生,대학교에 다니는 학생.,일반어
2등급,대형,4,명사,한자어,大型,같은 종류의 사물 가운데 큰 규격이나 규모.,일반어
2등급,댄스,0,명사,외래어,dance,서양식의 사교춤.,일반어
2등급,더구나,1,부사,고유어,,이미 있는 사실에 더하여.,일반어
2등급,더군다나,0,부사,고유어,,‘더구나’를 강조하여 이르는 말.,일반어
2등급,더더욱,0,부사,고유어,,‘더욱’을 강조하여 이르는 말.,일반어
2등급,더블,0,명사,외래어,double,"「1」어떠한 수량의 배(倍)를 이르는 말.
「2」두 번 거듭되거나 겹침.
「3」위스키 따위의 60mL 정도의 양.
「4」옷섶을 깊게 겹치고 단추를 두 줄로 단 윗옷이나 외투.
「5」싱글폭(single幅)의 두 배가 되는 양복지. 보통 54인치나 56인치이다.",일반어/일반어/일반어/일반어/일반어
2등급,덤,0,명사,고유어,,"「1」제 값어치 외에 거저로 조금 더 얹어 주는 일. 또는 그런 물건.
「2」바둑에서, 맞바둑의 경우 흑이 백에게 몇 집을 더 주는 일.
「3」→ 우수리.",일반어/전문어(체육)/일반어
2등급,덤프트럭,0,명사,외래어,dump truck,"화물 자동차의 하나. 차에 실은 짐을 자동적으로 한꺼번에 부릴 수 있도록 짐받이의 밑바닥을 떠받쳐 올리면서 뒤쪽으로 기울어지게 장치한 것으로, 자갈ㆍ모래ㆍ석탄ㆍ쓰레기 따위를 나르는 데 쓴다.",일반어
2등급,덧셈,0,명사,고유어,,몇 개의 수나 식 따위를 합하여 계산함. 또는 그런 셈.,전문어(수학)
2등급,덩이,0,명사,고유어,,"「1」작게 뭉쳐서 이루어진 것.
「2」작게 뭉쳐서 이루어진 것을 세는 단위.
「3」그러한 성질을 가지거나 그런 일을 일으키는 사람이나 사물을 나타내는 말.
「4」조직이나 장기의 일부에 생긴 경계가 분명한 응어리. 외상(外傷), 염증 따위를 비롯하여 여러 가지 원인이 있으나 암의 한 형태인 경우가 많다.",일반어/일반어/일반어/전문어(의학)
2등급,데다,1,동사,고유어,,"「1」불이나 뜨거운 기운으로 말미암아 살이 상하다. 또는 그렇게 하다.
「2」몹시 놀라거나 심한 괴로움을 겪어 진저리가 나다.",일반어
2등급,데이트,0,명사,외래어,date,이성(異性)끼리 교제를 위하여 만나는 일. 또는 그렇게 하기로 한 약속.,일반어
2등급,도,10,명사,한자어,道,"「1」우리나라 지방 행정 구역의 하나. 시(市)와 군(郡) 따위를 관할한다. 고려의 5도 양계, 조선의 8도, 갑오개혁 이후의 13도를 거쳐 1945년 말에는 14개가 되었다. 이후 북한의 행정 구역이 개편되면서 현재는 모두 17개가 있다.
「2」도(道)의 행정 사무를 맡아보는 관청.",일반어/전문어(행정)
2등급,도넛,0,명사,외래어,doughnut,"밀가루에 베이킹파우더, 설탕, 달걀 따위를 섞어 이겨서 경단이나 고리 모양으로 만들어 기름에 튀긴 과자.",일반어
2등급,도둑놈,0,명사,고유어,,‘도둑’을 낮잡아 이르는 말.,일반어
2등급,도리,7,명사,한자어,道理,"「1」사람이 어떤 입장에서 마땅히 행하여야 할 바른길.
「2」어떤 일을 해 나갈 방도(方道).",일반어/일반어
2등급,도미노,0,명사,외래어,domino,"「1」서양 골패의 하나. 18세기에 이탈리아에서 고안되었다.
「2」도미노 패가 연이어 넘어지듯이 어떤 현상이 인접 지역으로 파급되는 일.
「3」가장무도에 쓰는 복면 두건. 또는 두건이 붙은 외투.",일반어/일반어/일반어
2등급,도서,6,명사,한자어,圖書,"「1」일정한 목적, 내용, 체재에 맞추어 사상, 감정, 지식 따위를 글이나 그림으로 표현하여 적거나 인쇄하여 묶어 놓은 것.
「2」그림, 글씨, 책 따위를 통틀어 이르는 말.",일반어/일반어
2등급,도우미,0,명사,고유어,,남에게 봉사하는 사람. 또는 어떤 일을 거들어 주기 위해 채용된 사람. 1993년 대전 엑스포에서 처음 쓴 말이다.,일반어
2등급,도중,4,명사,한자어,途中,"「1」길을 가는 중간.
「2」일이 계속되고 있는 과정이나 일의 중간.",일반어/일반어
2등급,도형,3,명사,한자어,圖形,"「1」그림의 모양이나 형태.
「2」점, 선, 면, 체 또는 그것들의 집합을 통틀어 이르는 말. 사각형, 원, 구 따위를 이른다.",일반어/전문어(수학)
2등급,독특하다,0,형용사,혼종어,獨特하다,"「1」특별하게 다르다.
「2」다른 것과 견줄 수 없을 정도로 뛰어나다.",일반어/일반어
2등급,돋보이다,0,동사,고유어,,"「1」‘도두보이다’의 준말.
「2」무리 중에서 훌륭하거나 뛰어나 도드라져 보이다.",일반어/일반어
2등급,돌길,1,명사,고유어,,돌이 많은 길.,일반어
2등급,돌려받다,0,동사,고유어,,빌려주거나 빼앗겼거나 주었던 것을 도로 갖게 되다.,일반어
2등급,돌잔치,0,명사,고유어,,첫돌이 되는 날에 베푸는 잔치.,일반어
2등급,동료,0,명사,한자어,同僚,같은 직장이나 같은 부문에서 함께 일하는 사람.,일반어
2등급,동물병원,0,명사,한자어,動物病院,동물의 병을 예방ㆍ진찰ㆍ치료하는 곳.,일반어
2등급,동사무소,0,명사,한자어,洞事務所,‘동 주민 센터’의 전 이름.,전문어(행정)
2등급,동상,6,명사,한자어,凍傷,"추위 때문에 살갗이 얼어서 조직이 상하는 일. 정도에 따라 네 단계로 나뉘는데, 1도는 붉은 반점이 생긴 상태, 2도는 물집이 생긴 상태, 3도는 피부에 궤양이 생긴 상태, 4도는 피부 깊숙이 괴사가 일어난 상태이다.",전문어(의학)
2등급,동영상,0,명사,한자어,動映像,컴퓨터 모니터의 화상이 텔레비전의 화상처럼 움직이는 것.,전문어(영상)
2등급,동의,2,명사,한자어,同意,"「1」같은 뜻. 또는 뜻이 같음.
「2」의사나 의견을 같이함.
「3」다른 사람의 행위를 승인하거나 시인함.
「4」다른 사람의 법률 행위에 대한 인허(認許)나 시인의 의사 표시. 행위자의 단독 행위로는 완전한 법률 효과가 생기지 않을 때에, 이를 보충하는 다른 사람의 의사 표시를 이른다.",일반어/일반어/일반어/전문어(법률)
2등급,동의하다,1,동사,혼종어,同意하다,"「1」의사나 의견을 같이하다.
「2」다른 사람의 행위를 승인하거나 시인하다.
「3」다른 사람의 법률 행위에 대해 인허(認許)하거나 시인의 의사 표시를 하다. 행위자의 단독 행위로는 완전한 법률 효과가 생기지 않을 때에, 이를 보충하는 다른 사람이 의사를 표시하는 일을 이른다.",일반어/일반어/전문어(법률)
2등급,동포,2,명사,한자어,同胞,"「1」한 부모에게서 태어난 형제자매.
「2」같은 나라 또는 같은 민족의 사람을 다정하게 이르는 말.",일반어/일반어
2등급,되도록,0,부사,고유어,,될 수 있는 대로.,일반어
2등급,되돌아보다,0,동사,고유어,,"「1」가던 방향에서 몸이나 얼굴을 돌려 다시 바라보다.
「2」지나온 과정을 다시 돌아보다.",일반어/일반어
2등급,두꺼비,0,명사,고유어,,"두꺼빗과의 양서류. 모양은 개구리와 비슷하나 크기는 그보다 크며 몸은 어두운 갈색 또는 황갈색에 짙은 얼룩무늬가 있다. 등에는 많은 융기가 있으며 적을 만나면 흰색의 독액을 분비한다. 한국, 일본, 중국, 러시아 등지에 분포한다.",전문어(동물)
2등급,두뇌,0,명사,한자어,頭腦,"「1」중추 신경 계통 가운데 머리뼈안에 있는 부분. 대뇌, 사이뇌, 소뇌, 중간뇌, 다리뇌, 숨뇌로 나뉜다. 근육의 운동을 조절하고 감각을 인식하며, 말하고 기억하며 생각하고 감정을 일으키는 중추가 있다.
「2」사물을 판단하는 슬기.
「3」지식수준이 높은 사람을 비유적으로 이르는 말.
「4」총체적으로 일을 지휘하거나 처리하는 명령을 내리는 기능. 또는 그런 기능을 갖는 사람이나 조직을 비유적으로 이르는 말.
「5」풍수지리에서, 땅의 정기가 모여 묏자리나 집터가 이루어진 곳에서 조금 높은 곳. 용의 얼굴 부분에 해당한다.",전문어(의학)/일반어/일반어/일반어/전문어(민속)
2등급,두어,0,관형사,고유어,,그 수량이 둘쯤임을 나타내는 말.,일반어
2등급,두통,0,명사,한자어,頭痛,머리가 아픈 증세.,일반어
2등급,둥둥,2,부사,고유어,,"「1」물체가 떠서 움직이는 모양.
「2」마음이 자꾸 들뜨는 모양.",일반어/일반어
2등급,뒤늦다,0,형용사,고유어,,제때가 지나 아주 늦다.,일반어
2등급,뒤떨어지다,0,동사,고유어,,"「1」어떤 것의 뒤에 떨어져 거리를 두다.
「2」발전 속도가 느려 도달하여야 할 수준이나 기준에 이르지 못하다.
「3」시대나 사회 조류에 맞지 않게 뒤지다.",일반어/일반어/일반어
2등급,뒤지다,1,동사,고유어,,"[1]「1」걸음이 남에게 뒤떨어지다.
[1]「2」능력, 수준 따위가 남보다 뒤떨어지거나 못하다.
[1]「3」시간에 있어 남보다 늦다.
[2]어떤 기준에 미치지 못하다.",일반어/일반어/일반어
2등급,뒤집어지다,0,동사,고유어,,뒤집은 상태가 되다.,일반어
2등급,뒤처리,0,명사,혼종어,뒤處理,일이 벌어진 뒤나 끝난 뒤끝을 처리하는 일.,일반어
2등급,뒤척이다,0,동사,고유어,,"「1」물건들을 이리저리 들추며 뒤지다. ‘뒤적이다「1」’보다 거센 느낌을 준다.
「2」물건이나 몸을 이리저리 뒤집다. ‘뒤적이다「2」’보다 거센 느낌을 준다.",일반어/일반어
2등급,뒤틀리다,0,동사,고유어,,"「1」꼬인 것처럼 몹시 비틀리다. ‘뒤틀다「1」’의 피동사.
「2」일이 잘 안되다. ‘뒤틀다「2」’의 피동사.
「3」마음이나 감정의 움직임이 사납고 험하게 비틀어지다.",일반어/일반어/일반어
2등급,뒷말,1,명사,고유어,,"「1」계속되는 이야기의 뒤를 이음. 또는 그런 말.
「2」일이 끝난 뒤에 뒷공론으로 하는 말.
「3」바로 뒤에 오는 말.",일반어/일반어/일반어
2등급,드라이브,0,명사,외래어,drive,"「1」기분 전환을 위하여 자동차를 타고 다니는 일.
「2」테니스ㆍ탁구ㆍ배드민턴ㆍ골프 따위에서, 공을 깎아서 세게 치는 일.
「3」컴퓨터에서 디스크의 종류에 따라 나누어 놓은 공간.",일반어/전문어(체육)/전문어(정보·통신)
2등급,드러나다,0,동사,고유어,,"「1」가려 있거나 보이지 않던 것이 보이게 되다.
「2」알려지지 않은 사실이 널리 밝혀지다.
「3」겉에 나타나 있거나 눈에 띄다.
「4」다른 것보다 두드러져 보이다.",일반어/일반어/일반어/일반어
2등급,드럼,0,명사,외래어,drum,"「1」원기둥 모양의 큰 통. 두꺼운 철판으로 만든 것으로, 주로 기름 따위를 담는다.
「2」기름 따위를 ‘드럼통「1」’에 담아 그 분량을 세는 단위.
「3」서양 타악기의 하나. 짧은 원통형의 금속 동체(胴體)의 양쪽에 가죽을 팽팽하게 대고, 그 주변에는 가죽을 죄는 나사못의 장치가 있으며, 두 개 또는 한 개의 채로 친다. 사이드 드럼, 베이스 드럼 따위가 있다.",일반어/일반어/전문어(음악)
2등급,듣기,0,명사,고유어,,"국어 학습에서, 남의 말을 올바르게 알아듣고 이해하는 일. 쓰기, 읽기, 말하기보다 초보적인 것이다.",전문어(교육)
2등급,들뜨다,0,동사,고유어,,"「1」마음이나 분위기가 가라앉지 아니하고 조금 흥분되다.
「2」단단한 데에 붙은 얇은 것이 떨어져 틈이 벌어지며 일어나다.
「3」피부에 수분이 부족하거나 각질 따위가 피부 표면에 붙어 있어 화장품이 잘 흡수되지 않고 겉돌다.
「4」살빛이 누렇고 부석부석하게 되다.
「5」열기가 올라서 진정하지 못하다.",일반어/일반어/일반어/일반어/일반어
2등급,들락거리다,0,동사,고유어,,들어왔다 나갔다를 자꾸 하다.,일반어
2등급,들통,1,명사,고유어,,비밀이나 잘못된 일 따위가 드러난 판국.,일반어
2등급,듬성듬성,0,부사,고유어,,매우 드물고 성긴 모양.,일반어
2등급,듬직하다,0,형용사,고유어,,"「1」사람됨이 믿음성 있게 묵직하다.
「2」나이가 제법 많다.
「3」사물이 크고 묵직하여 굳건하다.",일반어/일반어/일반어
2등급,등교,0,명사,한자어,登校,학생이 학교에 감.,일반어
2등급,등교하다,0,동사,혼종어,登校하다,학생이 학교에 가다.,일반어
2등급,등급,0,명사/의존명사,한자어,等級,"[Ⅰ]「1」높고 낮음이나 좋고 나쁨 따위의 차이를 여러 층으로 구분한 단계.
[Ⅰ]「2」여러 층으로 구분한 단계를 세는 단위.
[Ⅱ]별의 밝기를 나타내는 단위.",일반어/일반어/일반어
2등급,등등,1,의존명사,한자어,等等,그 밖의 것을 줄임을 나타내는 말.,일반어
2등급,등불,0,명사,혼종어,燈불,"「1」등에 켠 불.
「2」등잔에 켠 불.
「3」앞날에 희망을 주는 존재를 비유적으로 이르는 말.",일반어
2등급,등수,1,명사,한자어,等數,등급에 따라 정한 차례.,일반어
2등급,등원,2,명사,한자어,登園,"원생이 어린이집, 유치원, 학원 따위에 감.
",일반어
2등급,등원하다,2,동사,혼종어,登園하다,"원생이 어린이집, 유치원, 학원 따위에 가다.
",일반어
2등급,등장인물,0,명사,한자어,登場人物,"연극, 영화, 소설 따위에 나오는 인물.",일반어
2등급,디귿,0,명사,고유어,,한글 자모 ‘ㄷ’의 이름.,전문어(언어)
2등급,디디다,0,동사,고유어,,"「1」발을 올려놓고 서거나 발로 내리누르다.
「2」누룩이나 메주 따위의 반죽을 보자기에 싸서 발로 밟아 덩어리를 짓다.
「3」어려운 상황 따위를 이겨 내다.",일반어
2등급,디자인,0,명사,외래어,design,"의상, 공업 제품, 건축 따위 실용적인 목적을 가진 조형 작품의 설계나 도안.",일반어
2등급,디자인하다,0,동사,혼종어,design하다,"의상, 공업 제품, 건축 따위 실용적인 목적을 가진 조형 작품을 설계하거나 도안하다.",일반어
2등급,딛다,0,동사,고유어,,"「1」‘디디다「1」’의 준말.
「2」‘디디다「2」’의 준말.
「3」‘디디다「3」’의 준말.",일반어/일반어/일반어
2등급,따끈따끈하다,0,형용사,고유어,,매우 따뜻하고 덥다.,일반어
2등급,따끈하다,0,형용사,고유어,,꽤 따뜻하고 더운 느낌이 있다.,일반어
2등급,따돌림,0,명사,고유어,,따돌리는 일.,일반어
2등급,따라서,0,부사,고유어,,"앞에서 말한 일이 뒤에서 말할 일의 원인, 이유, 근거가 됨을 나타내는 접속 부사.",일반어
2등급,따름,1,의존명사,고유어,,오로지 그것뿐이고 그 이상은 아님을 나타내는 말.,일반어
2등급,따위,0,의존명사,고유어,,"「1」앞에 나온 것과 같은 종류의 것들이 더 있음을 나타내는 말.
「2」앞에 나온 종류의 것들이 나열되었음을 나타내는 말.
「3」앞에 나온 대상을 낮잡거나 부정적으로 이르는 말.",일반어/일반어/일반어
2등급,딱지,1,명사,고유어,,"「1」헌데나 상처에서 피, 고름, 진물 따위가 나와 말라붙어 생긴 껍질.
「2」게, 소라, 거북 따위의 몸을 싸고 있는 단단한 껍데기.
「3」만들 때부터 종이에 박혀 있는 티.
「4」회중시계나 손목시계 따위의 기계를 싸고 있는 껍데기.",일반어/일반어/일반어/일반어
2등급,딱지치기,0,명사,혼종어,딱紙치기,"놀이딱지 한 장을 땅바닥에 놓고, 다른 딱지로 쳐서 뒤집히면 따먹는 아이들 놀이.",일반어
2등급,딱풀,0,명사,고유어,,종이와 같은 물건 따위를 붙이는 고체형 물질. 상품명에서 온 말이다.,일반어
2등급,딴생각,0,명사,고유어,,"「1」미리 정해진 것에 어긋나는 생각.
「2」주의를 기울이지 않고 다른 데로 쓰는 생각.",일반어/일반어
2등급,딸리다,1,동사,고유어,,"「1」어떤 것에 매이거나 붙어 있다.
「2」어떤 부서나 종류에 속하다.",일반어/일반어
2등급,때다,1,동사,고유어,,아궁이 따위에 불을 지피어 타게 하다.,일반어
2등급,때로,0,부사,고유어,,"「1」경우에 따라서.
「2」잦지 아니하게 이따금.",일반어/일반어
2등급,때마침,0,부사,고유어,,제때에 알맞게. 또는 바로 때맞춰.,일반어
2등급,때우다,0,동사,고유어,,"「1」뚫리거나 깨진 곳을 다른 조각으로 대어 막다.
「2」간단한 음식으로 끼니를 대신하다.
「3」다른 수단을 써서 어떤 일을 보충하거나 대충 해결하다.
「4」큰 액운을 작은 괴로움으로 면하다.
「5」남는 시간을 다른 일로 보내다.",일반어/일반어/일반어/일반어/일반어
2등급,떠밀다,0,동사,고유어,,"「1」힘껏 힘을 주어 앞으로 나아가게 하다.
「2」어떤 일이나 책임을 남에게 넘기다.",일반어/일반어
2등급,떠밀리다,0,동사,고유어,,힘에 밀려 나아가게 되다. ‘떠밀다「1」’의 피동사.,일반어
2등급,떡,3,부사,고유어,,"「1」훨쩍 바라지거나 벌어진 모양.
「2」매우 빈틈없이 맞닿거나 들어맞는 모양.
「3」갑자기 마주치는 모양.
「4」매우 굳세게 버티는 모양.
「5」단단히 들러붙은 모양.
「6」태도가 매우 여유 있고 의젓한 모양.",일반어/일반어/일반어/일반어/일반어/일반어
2등급,떡국,0,명사,고유어,,가래떡을 어슷썰기로 얇게 썰어 맑은장국에 넣고 끓인 음식.,일반어
2등급,떡집,0,명사,고유어,,떡을 만들어 파는 집.,일반어
2등급,떨치다,2,동사,고유어,,"「1」세게 흔들어서 떨어지게 하다.
「2」불길한 생각이나 명예, 욕심 따위를 완강하게 버리다.",일반어/일반어
2등급,떳떳하다,0,형용사,고유어,,굽힐 것이 없이 당당하다.,일반어
2등급,또래,0,명사,고유어,,"「1」나이나 수준이 서로 비슷한 무리.
「2」생김새, 됨됨이, 크기 따위가 같거나 비슷한 것.",일반어/일반어
2등급,똑,1,부사,고유어,,"「1」작은 물체나 물방울 따위가 가볍게 아래로 떨어지는 소리. 또는 그 모양.
「2」작고 단단한 물체가 부러지거나 끊어지는 소리. 또는 그 모양.
「3」단단한 물체를 가볍게 한 번 치는 소리.
「4」거침없이 따거나 떼는 모양.",일반어/일반어/일반어/일반어
2등급,똥개,0,명사,고유어,,"「1」똥을 먹는 잡종 개.
「2」나이 많은 어른들이 자기의 어린 자녀와 손자들을 부르거나 이르는 말. 부정을 타거나 해를 당하지 않도록 일부러 이렇게 부른다.",일반어/일반어
2등급,똥파리,0,명사,고유어,,"똥파릿과의 곤충. 몸의 길이는 1.9cm 정도로, 누런 갈색이며 누런색 털이 많다. 가슴 위 등 쪽에는 네 개의 짙은 색 세로줄이 있으며 날개는 누런색이다. 똥오줌에 모여드는 성질이 있으며, 한국을 비롯한 전 세계에 분포한다.",전문어(동물)
2등급,뚜렷하다,0,형용사,고유어,,엉클어지거나 흐리지 않고 아주 분명하다.,일반어
2등급,뚝딱,2,부사,고유어,,일을 거침없이 손쉽게 해치우는 모양.,일반어
2등급,뚱보,0,명사,고유어,,"「1」심술 난 것처럼 뚱해서 붙임성이 적은 사람.
「2」살이 쪄서 뚱뚱한 사람을 놀림조로 이르는 말.",일반어/일반어
2등급,뜯어내다,0,동사,고유어,,"[1]「1」붙어 있는 것을 떼어 내다.
[1]「2」전체에서 일부분을 조각조각 떼어 내다.
[2]남의 재물 따위를 조르거나 위협하여 얻어 내다.",일반어/일반어
2등급,뜻깊다,0,형용사,고유어,,가치나 중요성이 크다.,일반어
2등급,뜻대로,0,부사,고유어,,마음먹은 대로.,일반어
