등급,어휘,품사,어종,원어,의미,日本語訳,定義,外来語_カタカナ候補,外来語_原語候補,品質フラグ,tags
1등급,이다,조사,고유어,,"「1」주어가 지시하는 대상의 속성이나 부류를 지정하는 뜻을 나타내는 서술격 조사.
「2」주어의 속성을 나타내는 서술격 조사.
「3」용언처럼 주체의 행동이나 상태를 나타내는 서술격 조사.
「4」주체의 행동이나 상태에 대한 양상을 나타내는 서술격 조사.
「5」주체의 행동에 관여하는 상황을 나타내는 서술격 조사.",,"「1」주어가 지시하는 대상의 속성이나 부류를 지정하는 뜻을 나타내는 서술격 조사.
「2」주어의 속성을 나타내는 서술격 조사.
「3」용언처럼 주체의 행동이나 상태를 나타내는 서술격 조사.
「4」주체의 행동이나 상태에 대한 양상을 나타내는 서술격 조사.
「5」주체의 행동에 관여하는 상황을 나타내는 서술격 조사.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,이다음,명사,고유어,,"「1」이것에 뒤이어 오는 때나 자리.
「2」얼마의 시간이 지난 뒤.",,"「1」이것에 뒤이어 오는 때나 자리.
「2」얼마의 시간이 지난 뒤.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,이달,명사,고유어,,"「1」이번 달.
「2」바로 앞에서 이야기한 달.",,"「1」이번 달.
「2」바로 앞에서 이야기한 달.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,이대로,부사,고유어,,"「1」변함없이 이 모양으로.
「2」이것과 똑같이.",,"「1」변함없이 이 모양으로.
「2」이것과 똑같이.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,이따,부사,고유어,,조금 지난 뒤에.,,조금 지난 뒤에.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,이따가,부사,고유어,,조금 지난 뒤에.,,조금 지난 뒤에.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,이때,명사,고유어,,바로 지금의 때. 또는 바로 앞에서 이야기한 시간상의 어떤 점이나 부분.,,바로 지금의 때. 또는 바로 앞에서 이야기한 시간상의 어떤 점이나 부분.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,이러다,동사,고유어,,"「1」‘이리하다01’의 준말.
「2」이렇게 말하다.",,"「1」‘이리하다01’의 준말.
「2」이렇게 말하다.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,이러이러하다,형용사,고유어,,"「1」이러하고 이러하다.
「2」대개 이러하여 별로 특별하지 아니하다.",,"「1」이러하고 이러하다.
「2」대개 이러하여 별로 특별하지 아니하다.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,이러하다,형용사,고유어,,‘이렇다’의 본말.,,‘이렇다’의 본말.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
