순위,단어,품사,품사 이름,품사 (일본어),풀이（意味）,등급
16173,진찰,명,명사,名詞,診察,C
2782,진출,명,명사,名詞,進出,B
3662,진출하다,동,동사,動詞,進出-,C
8226,진통,명,명사,名詞,陣痛,C
3018,진하다,형,형용사,形容詞,津-,B
2297,진행,명,명사,名詞,進行,C
1246,진행되다,동,동사,動詞,進行-,B
6140,진행자,명,명사,名詞,進行者,C
2587,진행하다,동,동사,動詞,進行-,B
2667,질,명,명사,名詞,質,B
1144,질문,명,명사,名詞,質問,A
7634,질문하다,동,동사,動詞,質問-,A
3206,질병,명,명사,名詞,疾病,C
607,질서,명,명사,名詞,秩序,B
4942,질적,명,명사,名詞,質的,C
2538,짐,명,명사,名詞,,B
5414,짐작,명,명사,名詞,斟酌,C
2979,짐작하다,동,동사,動詞,斟酌-,C
49,집,명,명사,名詞,,A
1756,집다,동,동사,動詞,,B
552,집단,명,명사,名詞,集團,C
4736,집단적,명,명사,名詞,集團的,C
1213,집안,명,명사,名詞,,B
4468,집안일,명,명사,名詞,,C
3333,집어넣다,동,동사,動詞,,C
2243,집중,명,명사,名詞,集中,B
3163,집중되다,동,동사,動詞,集中-,C
4560,집중적,명,명사,名詞,集中的,C
9354,집중하다,동,동사,動詞,集中-,C
1525,짓,명,명사,名詞,,B
247,짓다,동,동사,動詞,,B
2482,짙다,형,형용사,形容詞,,B
2944,짚다,동,동사,動詞,,C
3207,짜다,"동, 형","동사, 형용사","動詞, 形容詞","관을 ~, 빨래를 ~, 음식이 ~",A
3663,짜증,명,명사,名詞,,B
9357,짜증스럽다,형,형용사,形容詞,,C
1622,짝,명,명사,名詞,~이 맞다,C
856,짧다,형,형용사,形容詞,,A
7637,짧아지다,동,동사,動詞,,B
10265,쩔쩔매다,동,동사,動詞,,C
233,쪽,"명, 의","명사, 의존 명사","名詞, 依存名詞","면, 부분, 방향",A
5415,쫓겨나다,동,동사,動詞,,C
3606,쫓기다,동,동사,動詞,,C
3089,쫓다,동,동사,動詞,,C
3607,쭉,부,부사,副詞,,C
6693,찌개,명,명사,名詞,,A
5148,찌꺼기,명,명사,名詞,,C
7385,찌다,동,동사,動詞,"살이 ~, 떡을 ~",B
2668,찌르다,동,동사,動詞,,B
1188,찍다,동,동사,動詞,서류에 도장을 ~,A
4838,찍히다,동,동사,動詞,도장이 ~,C
5416,찢다,동,동사,動詞,,C
4652,찢어지다,동,동사,動詞,,C
417,차,"의, 명","의존 명사, 명사","依存名詞, 名詞","次, 車, 差, 茶",A
2067,차갑다,형,형용사,形容詞,,B
7386,차남,명,명사,名詞,次男,B
994,차다,"동, 형","동사, 형용사","動詞, 形容詞","가득 ~, 공을 ~, 시계를 ~, 날씨가 ~",B
1874,차라리,부,부사,副詞,,C
2016,차량,명,명사,名詞,車輛,C
658,차례,명,명사,名詞,次例,B
1386,차리다,동,동사,動詞,,B
3502,차림,명,명사,名詞,,C
4383,차마,부,부사,副詞,,C
2588,차별,명,명사,名詞,差別,C
5679,차선,명,명사,名詞,車線,C
557,차이,명,명사,名詞,差異,B
4738,차이점,명,명사,名詞,差異點,C
7924,차차,부,부사,副詞,次次,C
5823,차창,명,명사,名詞,車窓,C
3550,차츰,부,부사,副詞,,C
4311,착각,명,명사,名詞,錯覺,C
5680,착각하다,동,동사,動詞,錯覺-,C
1567,착하다,형,형용사,形容詞,,B
4740,찬물,명,명사,名詞,,B
9800,찬성,명,명사,名詞,贊成,C
8229,찬성하다,동,동사,動詞,贊成-,C
622,참,"부, 감, 의","부사, 감탄사, 의존 명사","副詞, 感嘆詞, 依存名詞","참으로, 이것 ~, 집에 가던 ~에",A
4240,참가,명,명사,名詞,參加,C
2456,참가하다,동,동사,動詞,參加-,B
8561,참고하다,동,동사,動詞,參考-,C
2813,참기름,명,명사,名詞,,B
1053,참다,동,동사,動詞,,B
4562,참되다,형,형용사,形容詞,,C
1935,참새,명,명사,名詞,동물,C
8231,참석,명,명사,名詞,參席,C
6901,참석자,명,명사,名詞,參席者,C
1966,참석하다,동,동사,動詞,參席-,B
1645,참여,명,명사,名詞,參與,C
1225,참여하다,동,동사,動詞,參與-,C
5288,참외,명,명사,名詞,식물,C
1623,참으로,부,부사,副詞,,C
4384,참조,명,명사,名詞,參照,C
8562,찻잔,명,명사,名詞,茶盞,B
4312,창,명,명사,名詞,窓,C
6495,창가,명,명사,名詞,窓-,C
3439,창고,명,명사,名詞,倉庫,B
6902,창구,명,명사,名詞,窓口,C
2033,창문,명,명사,名詞,窓門,A
2483,창밖,명,명사,名詞,窓-,B
3891,창작,명,명사,名詞,創作,C
2783,창조,명,명사,名詞,創造,C
3164,창조적,명,명사,名詞,創造的,C
3503,창조하다,동,동사,動詞,創造-,C
6312,창피하다,형,형용사,形容詞,猖披-,C
191,찾다,동,동사,動詞,,A
1424,찾아가다,동,동사,動詞,,B
2326,찾아내다,동,동사,動詞,,B
6143,찾아다니다,동,동사,動詞,,C
1112,찾아보다,동,동사,動詞,,B
1023,찾아오다,동,동사,動詞,,B
279,채,"의, 부","의존 명사, 부사","依存名詞, 副詞","집 한 ~, 옷을 입은 ~로, 말이 ~ 끝나기도 전에",C
5417,채널,명,명사,名詞,channel,B
3053,채소,명,명사,名詞,菜蔬,B
1777,채우다,동,동사,動詞,자리를 ~,B
7387,채점,명,명사,名詞,採點,C
215,책,명,명사,名詞,冊,A
7640,책가방,명,명사,名詞,冊-,B
10808,책방,명,명사,名詞,冊房,B
1653,책상,명,명사,名詞,冊床,A
758,책임,명,명사,名詞,責任,B
6144,책임감,명,명사,名詞,責任感,C
2669,책임자,명,명사,名詞,責任者,B
3441,책임지다,동,동사,動詞,,C
5978,챔피언,명,명사,名詞,champion,B
1495,챙기다,동,동사,動詞,,B
2561,처녀,명,명사,名詞,處女,C
1174,처리,명,명사,名詞,處理,C
2847,처벌,명,명사,名詞,處罰,C
184,처음,명,명사,名詞,,A
2119,처지,명,명사,名詞,處地,C
4162,척,의,의존 명사,依存名詞,"못 이기는 ~, 隻",C
3377,척하다,보,보조 용언,補助用言,,C
3090,천,"명, 수, 관","명사, 수사, 관형사","名詞, 数詞, 冠形詞","실로 짠 물건, 千",A
7643,천국,명,명사,名詞,天國,C
12913,천둥,명,명사,名詞,,C
3166,천장,명,명사,名詞,天障,C
9364,천재,명,명사,名詞,天才,C
1683,천천히,부,부사,副詞,,A
4841,철,명,명사,名詞,"계절, ~이 들다, 鐵",B
4741,철도,명,명사,名詞,鐵道,C
2068,철저하다,형,형용사,形容詞,徹底-,C
3299,철저히,부,부사,副詞,徹底-,C
1584,철학,명,명사,名詞,哲學,C
4653,철학자,명,명사,名詞,哲學者,C
8568,철학적,명,명사,名詞,哲學的,C
670,첫,관,관형사,冠形詞,,B
3664,첫날,명,명사,名詞,,B
1728,첫째,"관, 수","관형사, 수사","冠形詞, 数詞",,A
2259,청년,명,명사,名詞,靑年,B
10274,청바지,명,명사,名詞,靑-,A
2484,청소,명,명사,名詞,淸掃,A
19549,청소기,명,명사,名詞,淸掃機,B
1108,청소년,명,명사,名詞,靑少年,B
4946,청소하다,동,동사,動詞,淸掃-,A
3442,청춘,명,명사,名詞,靑春,C
3779,청하다,동,동사,動詞,請-,C
4469,체계적,명,명사,名詞,體系的,C
3208,체력,명,명사,名詞,體力,C
6146,체온,명,명사,名詞,體溫,C
1396,체육,명,명사,名詞,體育,B
14922,체육관,명,명사,名詞,體育館,C
1981,체조,명,명사,名詞,體操,C
4241,체중,명,명사,名詞,體重,B
5291,체하다,보,보조 용언,補助用言,,C
1350,체험,명,명사,名詞,體驗,C
5292,체험하다,동,동사,動詞,體驗-,C
1206,쳐다보다,동,동사,動詞,,B
1181,초,의,의존 명사,依存名詞,"初, 秒",B
1017,초기,명,명사,名詞,初期,C
7129,초대,명,명사,名詞,"初代, 招待",A
5293,초대하다,동,동사,動詞,招待-,A
9369,초등학교,명,명사,名詞,初等學校,A
55056,초등학생,명,명사,名詞,初等學生,C
16217,초록색,명,명사,名詞,草綠色,B
3443,초반,명,명사,名詞,初盤,C
6147,초밥,명,명사,名詞,醋-,B
9370,초보,명,명사,名詞,初步,B
9811,초보자,명,명사,名詞,初步者,B
5684,초상화,명,명사,名詞,肖像畵,C
12141,초순,명,명사,名詞,初旬,C
9371,초여름,명,명사,名詞,初-,C
3019,초원,명,명사,名詞,草原,C
