韓国語,品詞,日本語訳,定義,target_codes
가르치다,動詞,おしえる【教える】 | おしえる【教える】。いましめる【戒める】 | べんきょうさせる【勉強させる】 | おしえる【教える】 | おしえる【教える】,知識や技術などを説明して習得させる。 | 間違っている考え方や習慣などを直す。 | お金を払って、学校や塾などに通わせる。 | 相手が知らない内容を告げ知らせる。 | 生きていくうえで必要な態度や価値を悟らせる。,62255
가리키다,動詞,さす【指す】。しめす【示す】 | さす【指す】 | さす【指す】 | さす【指す】。しめいする【指名する】,指や物をある方向や対象に向けて、それを知らせる。 | 時計や温度計の針が時刻や温度などを示す。 | ある事実や内容を意味する。 | ある対象を特別に指摘して言う。,17882
가방,名詞,かばん。バッグ,何かを中に入れて手でさげたり肩にかけたりできるように作られた携帯用具。,18259
가벼워지다,動詞,かるくなる【軽くなる】,軽い状態になる。,91176
가볍다,形容詞,かるい【軽い】 | かるい【軽い】 | かるい【軽い】 | かるい【軽い】 | かるい【軽い】 | みがるい【身軽い】 | かるい【軽い】 | かるい【軽い】 | かるい【軽い】 | かるい【軽い】 | かるい【軽い】 | かるい【軽い】 | かるい【軽い】 | かろやかだ【軽やかだ】 | かるい【軽い】,重量が少ない。 | 占める割合、価値、責任などが大きくない。 | 罪科や失敗の程度がそれほどひどくない。 | 病気や怪我などの程度がひどくない。 | 考えや言葉、行動などが慎重ではなく落ち着きがない。 | 動きが遅かったり鈍かったりせず、素早い。 | あることをする時にかける努力や負担が少ない。 | あまり大したことなく、重要でない。 | あることをするのに、さほど大変でなく、簡単である。 | 風の吹き具合や波のうち具合が弱い。 | ある物が触れ合ったりぶつかり合ったりする程度がひどくなく弱い。 | 音や色合いが爽やかで明るい。 | 税金や罰金、処罰の程度が少ない。 | 服装や化粧が派手すぎず、すっきりしていて動きやすい。 | 気楽で楽しい。,26788
가수,名詞,かしゅ【歌手】。うたいて【歌い手】,歌を歌うことを職業とする人。,62256
가슴,名詞,むね【胸】。きょうぶ【胸部】 | むね【胸】 | むね【胸】 | むね【胸】 | むね【胸】。ちぶさ【乳房】,人間や動物の首と腹の間にある、体の前面の部分。 | 人の首と腹の間にある、体の前面のほう覆う服の部分。 | 心や感じ。 | 人の心臓や肺。 | 乳房のある部分。,62908
가요,名詞,かよう【歌謡】。うた【歌】,大勢の人が好んで歌う歌。,63794
가운데,名詞,なか【中】。ちゅうおう【中央】。ちゅうかん【中間】 | なか【中】。ちゅうかん【中間】 | なか【中】。あいだ【間】 | なか【中】。ただなか【ただなか】。さいちゅう【最中】,ある空間や事物の全ての端からほぼ同距離に離れている部分。真ん中。 | 両端の間。 | 複数から構成されている一定の範囲内。 | ある行動や状態が続く間。,44486
가위,名詞,はさみ【鋏】 | はさみ。チョキ,紙や布、髪の毛などを切る道具。 | じゃんけんで人差し指と中指の2本だけを伸ばして出す動作。または、その手。,63801
가위바위보,名詞,じゃんけん。じゃんけんぽん。じゃんけんぽい,互いに手を差し出し、指の出し方で順位や勝負などを決めること。,16347
가위질하다,動詞,はさみをいれる【はさみを入れる】。はさみできる【はさみで切る】 | はさみを入れる【はさみを入れる】。せんさくする【穿鑿する】,はさみで切ったり、切り取る。 | （比喩的に）マスコミの記事や映画作品などを検閲し、その一部を削除する。,16353
가을,名詞,あき【秋】,四季の一つで、夏と冬の間の季節。,32204
가을날,名詞,あきのひ【秋の日】。あき【秋】。しゅうじつ【秋日】,秋の1日。または秋の天気。,16357
가을바람,名詞,あきかぜ【秋風】,秋に吹く爽やかで涼しい風。,16350
가을밤,名詞,しゅうや【秋夜】,秋の夜。,16351
가을비,名詞,しゅうう・あきさめ【秋雨】,秋に降る雨。,16370
가이드,名詞,ガイド | ガイド。ガイドブック。せつめいしょ【説明書】,観光や旅行などで案内役を務める人。 | 旅行の仕方や物の使い方などを説明した本。,63804
가장,名詞/副詞,かちょう【家長】 | もっとも【最も】。いちばん【一番】。なによりも【何よりも】,一家を代表し、責任を持つ人。主に一家の成人男性。 | 他のどれよりもまさるさま。,"15145,26795"
가전,名詞,かでん【家電】,家庭で使う電気器具。,25829
가져가다,動詞,もっていく【持っていく】。はこぶ【運ぶ】 | もっていく【持っていく】。もちあるく【持ち歩く】 | もっていく【持っていく】。ぬすむ【盗む】 | もっていく【持っていく】。みちびく【導く】,あるものをある場所から他の場所へ移していく。 | あるものを身につけていく。 | 人のものを盗んで自分のものにする。 | ある状態や結果へ導く。,53811
가져오다,動詞,もってくる【持ってくる】。はこぶ【運ぶ】 | もってくる【持ってくる】。もちあるく【持ち歩く】 | もってくる【持ってくる】。みちびく【導く】,あるものをある場所から他の場所へ移してくる。 | あるものを身につけてくる。 | ある状態や結果を生じさせる。,53818
가족,名詞,かぞく【家族】,一家で共同生活をし、夫婦やその子供、兄弟などの関係で構成された集団。また、その構成員。,44487
가족사진,名詞,かぞくしゃしん【家族写真】,家族で一緒に撮った写真。,601296
가지,名詞/依存名詞,ナス【茄子】 | しゅるい【種類】。しゅ【種】,紫黒色の長い円筒模様で、煮ておかずとして食べる実。また、その実が開花する草。 | 物の種類を数える語。,"63806,59921"
가지다,動詞/補助動詞,もつ【持つ】。たずさえる【携える】 | もつ【持つ】。しょゆうする【所有する】。ゆうする【有する】 | もつ【持つ】。しょゆうする【所有する】。ほゆうする【保有する】 | もつ【持つ】。ひらく【開く】 | もつ【持つ】。ゆうする【有する】。そなえる【備える】 | もつ【持つ】 | にんしんする【妊娠する】。はらむ | もつ【持つ】 | つかう【使う】。りようする【利用する】 | もつ【持つ】 | もつ【持つ】 | て | ので,何かを手に握ったり、身に付けたりする。 | 自分の物にする。 | 職業や資格、資格証、身分などを備える。 | 会議や集まり、公演などを行う。 | 発揮できる効力や能力などを備える。 | ある身体的な特徴を有する。 | 人や動物が子をはらむ。 | 病気や症状などを持つ。 | 何かを道具や材料、手段、方法にする。 | 何かを対象にする。 | 考え、態度、思想などを心の中に抱く。 | 関係を結ぶ。 | 前の言葉の表す行動の結果や状態が維持されるという意を表す「補助動詞」。 | 前の言葉の表す行動や状態が、後の語の原因や手段・理由になるという意を表す「補助動詞」。,"65234,61191"
각각,名詞/副詞,それぞれ。おのおの | それぞれ,多くのものを一つずつ離した一つ一つのもの。 | 一つ一つ、別々に。,"29229,29233"
간단하다,形容詞,かんたんだ【簡単だ】 | かんたんだ【簡単だ】 | かんたんだ【簡単だ】,長くない、または複雑でなない。 | 面倒でない、または多くない。 | 単純で手軽い。,70702
간단히,副詞,かんたんに【簡単に】 | かんたんに【簡単に】 | かんたんに【簡単に】,物事が長くならないように。または、複雑でないように。 | 手数がかからないように。手軽に。 | やり方や扱い方がかなり容易に。,16200
간식,名詞,かんしょく【間食】。あいだぐい【間食い】。おやつ【お八つ】,食事と食事の間に食べるちょっとした食べ物。,70703
간장,名詞,カンジャン,料理の塩加減をするのに使う、塩っぱい味の黒い液体。,70704
간호사,名詞,かんごし【看護師】。ナース,病院で医師を手伝って、患者の看病に携わっている人。,31450
간호원,名詞,かんごふ【看護婦】。かんごし【看護士】,以前、「간호사（看護士）」のことを指す語。,15151
갈비,名詞,カルビ。ばらにく【ばら肉】 | ろっこつ【肋骨】。あばらぼね【あばら骨】 | やせっぽち【痩せっぽち】,料理の材料に使われる牛、豚、鶏などのあばら骨とそこに付いている肉。また、それで作った料理。 | 人の脊椎に結合し、左右から丸く心臓と肺を囲んでいる数本の骨。 | ひどく痩せていて、骨だけが残っているような人をあざけっていう語。,57275
갈색,名詞,ちゃいろ【茶色】。ブラウン。かっしょく【褐色】,黒色とオレンジ色の中間の色で、乾いた木の葉のような色。,14752
갈아입다,動詞,きがえる【着替える】,着ていた服を脱いで、別の服に替えて着る。,53830
갈아타다,動詞,のりかえる【乗り換える】,乗っていたものから降りて、別のものに換えて乗る。,15437
