韓国語,品詞,日本語訳,定義,target_codes
기름,名詞,あぶら【油・脂・膏】 | あぶら【油】。げんゆ【原油】。せきゆ【石油】 | あぶら【油】。じゅんかつゆ【潤滑油】 | あぶら【脂】。ひし【皮脂】,よく燃え、水に溶けない、ぬるぬるとした液体。 | 地中から採掘され、主に自動車や工場の燃料として使う黒色の液体。 | 機械や道具の運動を滑らかにするために塗るぬるぬるとした液体。 | 顔や肌から分泌するぬるぬるとした物質。,40022
기분,名詞,きぶん【気分】。きもち【気持ち】 | ムード,不快・愉快・憂鬱・怒りなど感情の状態。 | 周辺の状況や雰囲気。,20192
기뻐하다,動詞,よろこぶ【喜ぶ】,楽しく快い気持ちになる。,61533
기쁘다,形容詞,うれしい【嬉しい】,愉快で楽しい。,40078
기쁨,名詞,よろこび【喜び】。うれしいきもち【うれしい気持ち】,気分がとても良く、楽しい感じ。,40080
기숙사,名詞,りょう【寮】。きしゅくしゃ【寄宿舎】,学校や会社で、生徒・学生や職員が寝て食事するなどの生活ができるように提供する施設。,18273
기억,名詞,きおく【記憶】。おもいで【思い出】。おぼえ【覚え】,以前の姿、事実、知識、経験などを忘れなかったり、再び思い出すこと。,38812
기억나다,動詞,おもいだす【思い出す】,以前の姿、事実、知識、経験などが心や頭の中によみがえる。,17229
기억되다,動詞,きおくされる【記憶される】。おぼえられる【覚えられる】,以前の姿、事実、知識、経験などが忘れられなかったり、再び思い出したりする。,32513
기억하다,動詞,きおくする【記憶する】。おぼえる【覚える】,以前の姿、事実、知識、経験などを忘れなかったり、再び思い出したりする。,62319
기온,名詞,きおん【気温】。おんど【温度】,空気の温度。,38103
기자,名詞,きしゃ【記者】,新聞や雑誌、放送などに載せる記事を取材して書いたり編集したりする人。,61280
기차,名詞,きしゃ【汽車】。れっしゃ【列車】。でんしゃ【電車】,人や物を載せて燃料の力で鉄道の上を走る、長さの長い車。,60632
기차역,名詞,きしゃのえき【汽車の駅】。えき【駅】,汽車に乗り降りする場所。,38193
기차표,名詞,きしゃのきっぷ【汽車の切符】。きっぷ【切符】,汽車に乗るために金を出して買う切符。,38196
기침,名詞,せき【咳】 | せき【咳】,肺からのどを通って空気が荒い音を出しながら急に出ること。 | 声をつくろったり、気配を出すためにわざとのどから出す息。,38465
기침감기,名詞,せきかぜ【咳風邪】,咳のひどい風邪。,23863
기침하다,動詞,せきをする【咳をする】 | からせきをする【空咳をする・乾咳をする】,肺からのどを通って空気が荒い音を出しながら急に出る。 | 相手の注意を引くために、わざと咳をする。,38466
기타,名詞,ギター,表裏が平たく、真ん中が細くて長い桶に、六つの弦を結び、指で弾いて演奏する楽器。,38467
기회,名詞,きかい【機会】。チャンス | きかい【機会】。チャンス,何かするのに最も都合のいい時機や場合。 | 何かしていて途中で考えを変えたり、他の事に関心を傾けたりする時間的な余裕。,73494
긴장,名詞,きんちょう【緊張】 | きんちょう【緊張】 | きんちょう【緊張】,気持ちを緩めず、気を引き締めること。 | 相互の関係が平穏でなく、争いが起こりそうな状況や雰囲気。 | 身体の筋肉や神経が続けて収縮したり興奮したりする状態。,43863
긴장되다,動詞,きんちょうする【緊張する】 | きんちょうする【緊張する】 | きんちょうする【緊張する】,落ち着かず気を引き締めるようになる。 | 相互の関係が平穏でなく、争いが起こりそうな状況になる。 | 身体の筋肉や神経が続けて収縮したり興奮したりする。,32539
긴장하다,動詞,きんちょうする【緊張する】 | きんちょうする【緊張する】,落ち着かず気を引き締めている。 | 身体の筋肉や神経が続けて収縮したり興奮したりする。,62359
길,名詞,みち【道・路】。どうろ【道路】 | みち【道・路】。こうろ【航路】 | みち【道】。どうてい・みちのり【道程】。こうてい【行程】 | みち【道】。みちのり【道程】。かてい【過程】 | みち【道】 | どう【道】。どうり【道理】 | みち【道】。ほうほう【方法】。しゅだん【手段】 | やいなや【や否や】 | とちゅう【途中】 | かてい【過程】。とちゅう【途中】,人や車などが通行できるように地上に一定の幅で長く続いている空間。 | 船や飛行機などが水上や空中で一定に往来する所。 | 目的地に達するために通る空間。 | 時間が経つにつれ、人間が生きていく過程。また、社会が発展していく過程。 | 人や社会が目指す方向に向うこと。 | ある資格や身分として行うべき道理や任務。 | 何かを行うための方法。 | ある行動が終わるとすぐに。 | ある場所へ移動する途中。 | 過程や途中の意を表す語。,59251
길다,形容詞,ながい【長い】 | ながい【長い】 | ながい【長い】 | ながい【長い】,物体の端からもう片方の端までとても離れている。 | ある時期から次の時期までの時間が長く続く。 | 文章の量や言葉が多い。 | 声や溜息などが長く続く。,26808
길어지다,動詞,ながびく【長引く】,長くなる。,32540
길옆,名詞,みちばた【道端】。ろぼう【路傍】,道の両側。,26366
길이,名詞,ながさ【長さ】。たけ【丈】 | ながさ【長さ】 | ながさ【長さ】 | ながさ【長さ】,何かの端から別の端までの距離。 | ある時点から別の時点までの間。 | 本や文章などの分量。 | 上から下への方向。,62471
김,名詞,ざっそう【雑草】 | のり【海苔】,農作物に害を与える田畑の雑草。 | 暖かくきれいな海に生える海草の一種で、四角く薄く広げて乾かした黒色の食べ物。,"45118,45119"
김치,名詞,キムチ,白菜や大根などの野菜を塩に漬けた後、薬味を混ぜて発酵させて作った食べ物。,28818
깊다,形容詞,ふかい【深い】,上から底まであるいは外から内までの距離が長い。 | 考えが重く、慎重だ。 | レベルが高かったり、程度が重い。 | 時間がとても経っている。 | 闇や霧などで薄暗くて濃い。,45157
깊이,副詞,ふかく【深く】 | ふかく【深く】 | ふかく【深く】,上から底まで、または表面から中までの距離がとても遠く。 | 考えが軽くなく、とても慎重に。 | 水準が大変高いか、程度が大変ひどく。,45169
까만색,名詞,くろ【黒】。こくしょく【黒色】,光がない時の夜空や墨のような色。,32548
까맣다,形容詞,まっくろい【真っ黒い】,明かりがまったくない夜空のように濃い黒。 | 距離や時間がとても遠い。 | 記憶や知ることがまったくない。 | 数え切れないほど多い。 | 驚いたり、具合が悪くて肌色が濃くなる。,64358
깎다,動詞,むく【剥く】 | そる【剃る】。かる【刈る】 | けずる【削る】 | ねぎる【値切る】 | けがす【汚す】。きずつける【傷つける】,ナイフなどの道具で物の表面や果物などの皮を薄く剥がす。 | 草や毛などを短く切る。 | 固い材料を切り取ってある形の物を作る。 | 値段、程度などを下げる。 | 他人の体面や威信を損なう。,57278
깜짝,副詞,びっくり,急に驚くさま。,37744
깨끗이,副詞,きれいに | きれいに | きれいに | すっきりと | すっかり | さっぱりと | すっきりと | いさぎよく | すっきり,よごれがなく。 | 色などがくすまず透き通って。 | きれいによく片付けられ、端正に。 | 味や感じが爽やかですっきりと。 | 残ったものや跡がなく。 | あることに執着して格好悪くすがりついたりせず、心に惜しみや不満なく。 | 病気が治った後に症状がのこったり、苦しんだ後に副作用がなく。 | 心や行動が潔く、はっきりとし、正しく。 | 気持ちや表情が怖かったり険しかったりせず、純粋に。,61076
깨끗하다,形容詞,きれいだ【綺麗だ】 | きれいだ【綺麗だ】 | きれいだ【綺麗だ】 | きれいだ【綺麗だ】 | きれいだ【綺麗だ】 | いさぎよい【潔い】 | きれいだ【綺麗だ】 | きれいだ【綺麗だ】 | きれいだ【綺麗だ】,よごれがなく清潔だ。 | 光などが濁ってなく清らかだ。 | きちんと整っていて端整だ。 | 味や感じなどが爽やかでさっぱりしている。 | 残りや痕跡がない。 | ものごとにこだわらず、心にわだかまりや不満がない。 | 病気後などの副作用や別の症状などがない。 | 心立てや行動などにやましさやけがれがなく、正しい。 | 心や表情などに荒さや険しさがなく、素直だ。,60323
깨다,動詞,さめる【覚める】 | ひらける【開ける】 | さめる【覚める】。めざめる【目覚める】,酔っている状態などから、意識のはっきりした状態に戻る。 | 考えや知恵などが理解できるように意識や精神がオープンされる。 | 眠っている状態などから、意識のはっきりした状態に戻る。また、そうさせる。,62332
꺼내다,動詞,だす【出す】。とりだす【取り出す】。もちだす【持ち出す】 | きりだす【切り出す】,中にある物を外に移す。 | 心の中の考えを話し始める。,62265
껌,名詞,ガム。チューインガム,口の中で噛みながら甘い味や風味を楽しみ吐いて捨てる食べ物。,41635
꼭,副詞,きっちり | ぴったり | ぴったり。ちょうど | ちょうど | まるで,何が何でも必ず。 | 少しも変わらず正確に。 | とてもよく。 | とても満足気に。 | ほとんど同じく。,48064
꽃,名詞,はな【花】 | はな【花】 | はな【花】 | はな【花】 | はな【花】,特有の形や色、香りがあり、幹の端についている植物の部分。また、それが咲く植物。 | （比喩的に）綺麗で人気のある女性。 | （比喩的に）最も華やかで盛えていること。 | （比喩的に）ある物事で最も重要な部分や役割。 | （比喩的に）熱を出したときに肌に赤く丸く出るもの。,62838
꽃구경,名詞,はなみ【花見】,美しく満開した花を見て楽しむこと。,600334
꽃구경하다,動詞,はなみをする【花見をする】,美しく満開した花を見て楽しむ。,600335
꽃다발,名詞,はなたば【花束】,花を何本か束ねたもの。,38220
꽃병,名詞,かびん【花瓶】。はないけ【花生け】。はないれ【花入れ】,花を挿しておく瓶。,38260
꽃집,名詞,はなや【花屋】。フラワーショップ,花や草花などの植物を売る店。,38277
꾸다,動詞,みる【見る】,寝ている間、夢の中で実際のように見て、聞いて、感じる。,62352
꿈,名詞,ゆめ【夢】 | ゆめ【夢】 | ゆめ【夢】,眠っている間に、起きている時のように見て聞いて感じる精神現象。 | これから実現したい希望や目標。 | 実現の可能性がとても少ないか全くない、空しい期待や考え。,57279
끄다,動詞,けす【消す】 | けす【消す】。きる【切る】 | かえす【返す】。すます【済ます】,燃えている火をなくならせる。 | 電気や機械を動かす力が通る道を切って、電気製品などが動かないようにする。 | 借りや急用などを処理する。,73443
끊다,動詞,きる【切る】。たつ【絶つ・断つ】 | きる【切る】。たつ【絶つ・断つ】 | たつ【絶つ・断つ】 | たつ【絶つ・断つ】・やめる【止める】 | とめる【止める】 | やめる【止める】 | たつ【絶つ・断つ】 | きる【切る】 | くぎる【区切る】 | かう【買う】 | 切る【切る】 | たつ【絶つ・断つ】 | きる【切る】 | すます【済ます】 | もうしこむ【申し込む】 | そうはする【走破する】 | たちきる【断ち切る】,糸、紐、綱など、つながっている物を分け離す。 | 続いている人との関係をなくする。 | 続けてきた仕事や考えを続けない。 | 習慣のように続けてきたことを続けない。 | 電気や水道などの供給を中断する。 | 新聞や牛乳などの配達を中断させる。 | 人や物品が通れないように道を遮る。 | 話を途中でやめる。また、やめさせる。 | 話をしたり文書を読んだりする時、音節などのまとまりで切れ目をつける。 | 布や切符などを購入する。 | 小切手や手形、文書などを発行する。 | 命を尽きさせる。 | 電話やインターネット上で言葉や考えのやり取りを中断する。 | 取引や計算を終える。 | 塾などにお金を払って登録する。 | 主に時間や速度を競う試合で記録を付ける。 | ある感情や関心などが続かないようにする。,62839
끓다,動詞,わく【沸く】 | ぐうぐうとなる【ぐうぐうと鳴る】 | ぜいぜいとする | わく【沸く】。わきたつ【湧き立つ】。たぎる【滾る】。にえたつ【煮え立つ】 | わく【湧く】。ごったがえす【ごった返す】。たかる【集る】,液体が非常に熱くなって気泡がのぼりはじめる。 | すごく熱くなる。 | 胃がもたれたり痛かったりして、お腹で音が出る。 | 喉に痰が詰まって、呼吸する時に音が出る。 | ある気持ちや感情が盛んに沸き起こる。 | たくさん集まってうじゃうじゃしている。,62282
끓이다,動詞,わかす【沸かす】 | にる【煮る】 | こがす【焦がす】。きにやむ【気に病む】,液体を気泡がのぼるほど熱くする。 | 水や液体の中に食物を入れて、火にかけて料理をする。 | 心配したり気を遣いすぎたりして、激しい感情が沸きあがる。,59474
끝,名詞,おわり【終わり】。はて【果て】。さいご【最後】 | おわり【終わり】。はて【果て】。さいご【最後】 | さき【先】。はし【端】 | さいご【最後】。しまい【仕舞い】。さいしゅう【最終】 | さいご【最後】。おわり【終わり】,時間における最後の時。 | 空間における最後の場所。 | 長い形の物や身体の末端部分。 | 物事や順序の一番後。 | 物事や行動の結果。,48072
끝나다,動詞,おわる【終わる】。すむ【済む】 | おわる【終わる】。すむ【済む】。きれる【切れる】。あける【開ける】 | おわる【終わる】。つきる【尽きる】 | おわる【終わる】。すむ【済む】 | 終わる【終わる】。きれる【切れる】 | 終わる【終わる】 | 終わる【終わる】 | 終わる【終わる】。すむ【済む】,物事が最後までなされる。 | 決まった期間が過ぎる。 | ある場所がこれ以上つながらない。 | 学校や会社などでその日になすべきことがすべて行われる。 | 関係が続かない。 | これ以上続ける必要がないくらい、話や仕事がうまく行かない。 | これ以上希望がなくなる。 | 何かが何かでしまいになる。,34734
끝내다,動詞,おえる【終える】。すます【済ます】 | おえる【終える】。すます【済ます】 | きる【切る】,物事を最後までなす。 | 決まった期間を過ごす。 | 関係を絶つ。,29692
끼다,動詞,はさむ【挟む】。さしこむ【差し込む】。はめる【填める】 | はさむ【挟む】。さしこむ【差し込む】。はめる【填める】 | くむ【組む】 | かかえる【抱える】 | はさむ【挟む】 | かさねる【重ねる】 | うしろだてにする【後ろ盾にする】,物と物との間に何かを入れて落ちないようにする。 | 何かに引っ掛かって落ちないように差し込む。 | 指や腕などを絡み合わせる。 | 身近に置いたり親しんだりする。 | ある場所が近くにある。 | ある期間が特定の時期や日付を含める。 | 二つ以上を張り付けたり加えたりする。 | 他人の力を借りたり利用したりする。,61097
나,代名詞,わたし【私】。ぼく【僕】。おれ【俺】。じぶん【自分】,話し手が友人や目下の人に対し、自分をさす語。,60931
나가다,動詞,でる【出る】 | でる【出る】 | でまわる【出回る】 | でる【出る】。のる【乗る】 | でる【出る】。もれる【漏れる】 | でる【出る】。しんしゅつする【進出する】 | でる【出る】。しゅっきんする【出勤する】 | でる【出る】。さんかする【参加する】 | でる【出る】 | でる【出る】。やめる【辞める】 | でる【出る】 | する。ある | でる【出る】 | きれる【切れる】。すりきれる【擦り切れる】 | おれる【折れる】。われる【割れる】 | ぬける【抜ける】。うしなう【失う】 | きえる【消える】 | うれる【売れる】 | きれる【切れる】。きえる【消える】 | きれる【切れる】 | でる【出る】 | でる【出る】 | でる【出る】 | すすむ【進む】,ある地域や空間の中から外へ移動する。 | 前の方に動く。 | 商品などが作られて社会で広がる。 | メディアを通じて広く知られる。 | 言葉や事実、噂などが知られる。 | 新しい所や領域などで活動を始める。 | 一定の所に働くために通う。 | 目的があって、ある所へ行く。 | 集まりに参加したり、競技会に出場したり、選挙などに出馬したりする。 | ある地域や空間、または属している所を離れる。 | ある行動や態度をとる。 | 値段や重さなどがある程度に至る。 | お金や物などが支給されたり支出されたりする。 | 服や靴、靴下などが擦り減ったり破れたりする。 | 物体などが壊れたり、体の一部に傷を負ったりする。 | 意識や正気を失う。 | 風邪などの病気が治る。 | 家や部屋などの契約が締結される。 | 停電したり、電灯が消えたりする。 | 刃物の切れ味が鋭い。 | 商品がよく売れる。 | ある仕事をするために行く。 | 住んでいた所から他の所に引っ越す。 | 物事がある程度進行する。,71456
나누다,動詞,わける【分ける】。わる【割る】。ぶんかつする【分割する】 | わける【分ける】。ぶんるいする【分類する】 | わる【割る】 | 分ける【分ける】。わる【割る】。ぶんぱいする【分配する】 | わけあう【分け合う】。わかちあう【分かち合う】 | かわす【交わす】 | わけあう【分け合う】。わかちあう【分かち合う】 | かわす【交わす】 | わける【分ける】,一つにまとまっている物をいくつかの部分にする。 | ある基準に沿って二つ以上の部類になるように区分したり分類したりする。 | 算数で割り算をする。 | それぞれの分を与える。 | 一緒に食べたり、分けて食べたりする。 | 言葉や話、挨拶などをやりとりする。 | 喜びや楽しみ、苦痛、苦しみなどの感情を共にする。 | 握手やキスなどの行動を共にする。 | 血縁の関係にある。,29749
나다,動詞,できる【出来る】。はえる【生える】 | とおる【通る】。ひらかれる【開かられる】。できる【出来る】 | あく【空く】。つく【付く】。できる【出来る】 | つく【付く】 | でる【出る】。のる【載る】 | おこる【起こる】。おきる【起きる】 | おこる【起こる】。おきる【起きる】 | とれる【取れる・穫れる】。できる【出来る】。でる【出る】 | でる【出る】 | たつ【立つ】。あがる【上がる】 | でる【出る】 | うまれる【生まれる】。おこる【起こる】 | あく【空く】。みつかる【見つかる】 | しょうじる【生じる】 | うまれる【生まれる】 | する | たつ【立つ】 | でる【出る】 | なる | する。なる。でる【出る】 | おもいだす【思い出す】 | あく【空く】 | でる【出る】 | しまう | でる【出る】 | する | さす【射す】 | すぐれる【優れる】 | でる【出る】 | すごす【過ごす】,皮膚の表面や地上に出て来る。 | 道や窓などが作られる。 | 穴や傷などが生じる。 | 表面に痕跡や跡が生じる。 | 新聞や雑誌などに掲載される。 | 地震や洪水などの自然災害が発生する。 | ある現象や事件が発生する。 | 農産物や鉱物などが産出される。 | 優れた人が輩出される。 | 名前や噂などが知れ渡る。 | 問題などが出題される。 | ある感情や感じが生じる。 | 望んでいた対象が現れたり、空きができたりする。 | なかったお金や物などが現れる。 | 人が誕生する。 | 音や臭いなどがおのずと感じられる。 | 煙や蒸気などが空中に上がり漂う。 | 体から汗や血、涙などが流れる。 | ある年齢になる。 | 体にある現象や病気が発生する。 | 考えや記憶などがよみがえる。 | 何かをする時間や機会が生じる。 | 趣や気品が感じられる。 | 効果や結果などが現れる。 | 終わりになる。 | 熱、光、速度などの属性が現れる。 | 味が感じられる。 | 日光などが当たる。 | 人の人格や能力、容貌などが素晴らしくて目立つ。 | 外に出て来るか、出て行く。 | 季節や期間を送る。 | 叱られる。,62210
나라,名詞,こっか【国家】 | くに【国】,一定の領土、主権を持っている人々の社会的な組織。 | 想像上の世の中や世界。,29699
나머지,名詞,あまり【余り】。よぶん【余分】。のこり【残り】。よじょう【余剰】 | のこり【残り】。あと【後】 | あまり【余り】 | あまり【余り】,ある量を満たした後、余った分。 | ある物事を行って、終わっていない部分。 | ある事柄の結果。 | 割り算で割り切れずに残った数。,59230
나무,名詞,き【木・樹】。じゅもく【樹木】 | き【木・樹】。ざいもく【材木】 | まき・たきぎ【薪】,しっかりした幹に枝と葉がついた、数年間にわたって育つ植物。 | 住宅や家具などを作るのに用いる材木。 | 火をたくために切った木の幹や枝。,32750
나쁘다,形容詞,わるい【悪い】 | わるい【悪い】 | わるい【悪い】 | わるい【悪い】 | わるい【悪い】 | わるい【悪い】,よくない。 | 気に入らないか、いい感じではない。 | 道徳的に正しくない。 | 健康によくない。 | 事をするには状況や時期が適切ではない。 | 事をするには容易ではない。,26816
나오다,動詞,でる【出る】 | できる【出来る】。はえる【生える】 | でる【出る】 | でる【出る】。のる【載る】 | でる【出る】。しんしゅつする【進出する】 | でまわる【出回る】 | でる【出る】。しゅっきんする【出勤する】 | でる【出る】 | でる【出る】 | でる【出る】。みつかる【見つかる】 | でる【出る】 | でる【出る】 | でる【出る】 | やめる【辞める】。おりる【下りる】 | でる【出る】 | でる【出る】 | でる【出る】。しきゅうされる【支給される】。おりる【下りる】。かされる【課される】 | でる【出る】。おりる【下りる】 | でる【出る】 | でる【出る】 | うつる【映る】。きける【聴ける】 | つきでる【突き出る】。でっぱる【出っ張る】。とっしゅつする【突出する】 | でる【出る】 | でる【出る】 | くる【来る】 | でる【出る】,中から外へ移動する。 | 中から外へ出て来る。 | ある所に一定の目的で来る。 | 本、新聞、放送などに文章や絵などが掲載されたり、ある内容が現れたりする。 | ある分野で働く。 | 新しい商品が市場に現れる。 | 所属団体や職場などに働きにくる。 | ある場所に姿が現れる。 | 液体や気体などが中から外へ流れる。 | ある物が発見されたり現れたりする。 | 商品が生産されたり人物が現れたりする。 | ある根源から発生する。 | ある所を離れて他の所へ行く。 | 所属団体や職場などで仕事をやめて退く。 | ある態度をとる。 | 処理されて結果が現れる。 | 受け取るべきお金などが与えられたり、税金などが賦課されたりする。 | 何かを知らせたり要求したりする書類が届く。 | 食べ物などが食べられるように用意される。 | 目的地が目に見えるようになる。 | 何かが買えるくらいの金額になる。 | テレビ放送を見たり、ラジオ放送を聞いたりすることができる。 | 一部分が前方に向かって出る。 | 感情表現や生理現象が現れる。 | 教育機関で一定の教育課程を終えて卒業する。 | ある目的で来る。 | 物事に対する話や評価などが現れる。,62233
나이,名詞,とし【年・歳】。ねんれい【年齢】。よわい【齢】,人や動植物などが生まれてから生きてきた年数。,60486
나중,名詞,あと・のち【後】。のちほど【後程】 | あと・のち【後】。のちほど【後程】 | あと・のち【後】。のちほど【後程】,一定の時間が過ぎた後。 | なにか他の事を先に行って、その次。 | 順序や時間の終わり。,62275
나타나다,動詞,あらわれる【現れる】 | あらわれる【現れる】 | あらわれる【表れる】 | あらわれる【表れる】 | あらわれる【現れる】,見えなかった物の姿が見えるようになる。 | 何かが起こりそうな気配や物事の結果が表に出る。 | 考えや感情などが文章、絵、音楽などで表現される。 | 感情や感じが表情や行動などで表現される。 | 新しい現象や事物が登場したり生じたりする。,62286
나흘,名詞,よっか【四日】。よっかかん【四日間】 | よっか【四日】,日数が四つ。 | 毎月の4番目の日。,16315
낚시,名詞,つりばり【釣り針】 | つりぐ・ちょうぐ【釣具】 | つり【釣り】 | つり【釣り】,魚釣りに用いる先の尖った小さい道具。 | 魚釣りに用いられる道具一式。 | 魚釣りの道具を使って魚を釣ること。 | （比喩的に）人の心をひきつける手段。,56098
낚시하다,動詞,さかなつりをする【魚釣りをする】,魚釣り用の道具を使って、魚を釣る。,56998
날,名詞,ひ【日】。ひにち【日日】 | にっちゅう【日中】。ひるま【昼間】 | てんこう【天候】。ひより【日和】 | きじつ【期日】 | じだい【時代】。とき【時】 | とき【時】。ばあい【場合】,夜12時から翌晩12時までの24時間。 | 一日のうちで明るい間。 | 一日の雨・雲・風・気温などの状態。 | 何らかの理由で定められた日。 | 特定の時代や時。 | 「場合」の意味を表す語。,62254
날다,動詞,とぶ【飛ぶ】 | とぶ【飛ぶ】 | とぶ【飛ぶ】,空中に浮いた状態で、ある位置から他の位置に動く。 | ある物が非常に早く動く。 | 素早く逃げることを俗にいう語。,61530
날씨,名詞,てんき【天気】。きこう【気候】。てんこう【天候】。そらもよう【空模様】,その日その日の気温や空気中の雨、雲、風、霧などが発生する状態。,60630
날씬하다,形容詞,すらりとしている | スリムだ,スタイルがちょうど良いくらいに細くて長い。 | 滑らかで、細長い。,40854
날짜,名詞,ひにち【日にち】。にっすう【日数】 | ひどり【日取り】 | ひづけ【日付】,日の数。 | 何かしようと決めた日。 | ある年の何月何日。,58157
남,名詞,ひと【人】。たにん【他人】 | たにん【他人】,自分ではなく、他の人。 | 自分と関係がないか、関係が切れた人。,28394
남-,接辞,だんし【男子】。おとこの【男の】,「男」の意を付加する接頭辞。,73346
남기다,動詞,のこす【残す】。とりのこす【取り残す】。あます【余す】 | もうける【儲ける】。とくする【得する】 | のこす【残す】 | のこす【残す】 | のこす【残す】 | のこす【残す】 | のこす【残す】 | のこす【残す】,使い切らず、残るようにする。 | 利益が生じるようにする。 | 離れないようにして、そのままでいさせる。 | 忘れられないようにしたり、後世に伝えられるようにする。 | 財産などを後代に譲る。 | 感情や記憶などが消えないようにする。 | あることや状況の結果で何かが生じるようにする。 | 決まった時間を満たしたり決まった距離に到達したりすることができなくなる。,64371
남녀,名詞,だんじょ・なんにょ【男女】,男と女。,60628
남다,動詞,のこる【残る】。あまる【余る】 | もうかる【儲かる】 | あまる【余る】 | のこる【残る】 | のこる【残る】 | のこる【残る】 | のこる【残る】 | あまる【余る】,使いきれず、残りが出る。 | 利益が生じる。 | 割り算で、割り切れないで残りが出る。 | 離れなく、そのままでいる。 | 忘れられない。 | 後世に伝わる。 | ある状況の結果で生じた状態のままである。 | ある程度を超える。,64552
남동생,名詞,おとうと【弟】,年下の男性の兄弟。,26820
남산,名詞,ナムサン【南山】,ソウル特別市の中(チュン)区と龍山(ヨンサン)区の間に位置する山。,25261
남성,名詞,だんせい【男性】 | だんせい【男性】,出産できない性。また、その性を持つ大人になった人。 | 西洋語の文法で、単語を性によって区別するときに使う言葉の一つ。,28806
남자,名詞,おとこ【男】。だんし【男子】。だんせい【男性】 | おとこ【男】 | おとこ【男】。おっと【夫】。かれし【彼氏】。こうさいしているだんせい【交際している男性】,男性として生まれた人。 | 力が強くて頼もしく、男らしい男性。 | 夫や男性の交際相手。,60865
남자 친구,名詞（句）,かれし【彼氏】。ボーイフレンド,恋人関係にある男性の友人。,37348
남자아이,名詞,だんじ【男児】,男の子。,92470
남쪽,名詞,みなみ【南】。みなみがわ【南側】 | みなみ【南】。みなみがわ【南側】,東西南北四つの方位の一つで、羅針盤のS極が指す方向。 | 北朝鮮の地域に対して韓国の地域。,63619
남편,名詞,おっと【夫】。しゅじん【主人】。だんな【旦那】,夫婦関係にある男性。,31919
남학생,名詞,だんしせいと【男子生徒】。だんしがくせい【男子学生】,男の生徒・学生。,58151
낫다,動詞/形容詞,なおる【治る】 | まさる【勝る】。ましだ,病気や傷などが消えて元の状態に戻る。 | あるものが他のものよりもっと良い。,"62354,38524"
낮,名詞,ひる【昼】。ひるま・ちゅうかん【昼間】。にっちゅう【日中】 | ひる【昼】。ひるま・ちゅうかん【昼間】。にっちゅう【日中】 | ひる【昼】。ひるま・ちゅうかん【昼間】。にっちゅう【日中】,日の出から日の入りまでの間。 | 正午12時過ぎて、夜になる前までの間。 | 正午12時前後で日が最も高くのぼっているとき。,64497
낮다,形容詞,ひくい【低い】 | ひくい【低い】 | ひくい【低い】 | ひくい【低い】 | ひくい【低い】,上から下までの間隔が短い。 | 温度、湿度、圧力などが決められた基準より下にある。 | 品質や水準、または能力や価値が普通より下にある。 | 地位や身分などが他の対象より下である。 | 音が音階の中で下の方か振動数が少ない。,58155
낮잠,名詞,ひるね【昼寝】。ごすい【午睡】,昼間寝ること。,41359
낳다,動詞,うむ【産む】。しゅっさんする【出産する】 | うむ【生む】 | うむ【生む】。だす【出す】。はいしゅつする【輩出する】,胎児や卵などを体外に出す。 | ある結果を出したりもたらしたりする。 | ある環境や状況の影響で、ある人物が現われるようにする。,64391
내,代名詞,わたし【私】。ぼく【僕】。おれ【俺】。じぶん【自分】,一人称代名詞「나」に主格助詞「가」があとにつく場合の形。,41385
내과,名詞,ないか【内科】,主に薬品で内蔵器官の疾病を治療する医学分野。また、その分野の病医院。,28417
내년,名詞,らいねん【来年】。よくねん【翌年】。みょうねん【明年】。つぎとし【次年】,今年のすぐ次の年。,64517
내다,動詞,とおす【通す】。ひらく【開く】。つくる【作る】 | あける【空ける】。つける【付ける】 | だす【出す】。のせる【乗せる】 | もつ【持つ】 | だす【出す】 | ほどこす【施す】 | うえる【植える】。いしょくする【移植する】 | だす【出す】。しゅっぴんする【出品する】 | だす【出す】。とりだす【取り出す】。もちだす【持ち出す】 | だす【出す】 | たてる【立てる】。あげる【揚げる】。もらす【漏らす】 | だす【出す】 | おこす【起こす】 | だす【出す】 | うりにだす【売りに出す】 | だす【出す】 | だす【出す】。はらう【払う】 | だす【出す】 | だす【出す】 | だす【出す】。たてる【立てる】 | さく【割く】。つくる【作る】。あける【空ける】 | だす【出す】 | だす【出す】 | とる【取る】 | つける【付ける】 | する | だす【出す】 | だす【出す】 | だす【出す】 | する,道や通路、窓などができるようにする。 | 穴や傷などができるようにする。 | ある内容が新聞や雑誌などに掲載されるようにする。 | 暮しなどを別に調えるようにする。 | 店などを構えて営業を始める。 | 肥料などを田畑に持って行く。 | 苗や幼い植物などを移して植える。 | 大会などに芸術作品を送る。 | 中から外へ移す。 | 選挙で候補を推薦する。 | 名前やうわさなどを知らせる。 | 問題などを出題する。 | ある感じや感情を生じさせる。 | 文書、書類、手紙などを提出したり送ったりする。 | 穀物や食べ物などを売るために出す。 | 食べ物や飲み物をもてなすために用意する。 | お金や品物などを与えたり捧げたりする。 | ある現象や事件を起こす。 | 優れた人を輩出する。 | 音や臭いなどを外に出す。 | 何かをする時間や機会を生じさせる。 | 趣や気品が感じられるようにする。 | 効果や結果などが現れるようにする。 | 出版物を製作して販売する。 | 休みなどを得る。 | 成績を処理する。 | 他人の姿や行動を真似る。 | 汗や血などを外に放出する。 | 熱、光、速度などの属性を現す。 | 味を生じさせる。 | 借金などでお金を得る。,89906
