韓国語,品詞,日本語訳,定義
모으다,動詞,あつめる【集める】。そろえる【揃える】。まとめる【纏める】,ばらばらのものを一塊にする。
모이다,動詞,あつまる【集まる】。そろう【揃う】。まとまる【纏まる】,ばらばらのものが一塊になる。
모자라다,動詞,ふそくする【不足する】。たりない【足りない】,決まった数、量や程度に至らない。
무거워지다,動詞,おもくなる【重くなる】,重い状態になる。
미끄러지다,動詞,すべる【滑る】。スリップする,つるつるの場所で一方向へ押されたり、転倒する。
바꾸다,動詞,かえる【変える・替える・換える・代える】。きりかえる【切り替える・切り換える】,元々あったものを無くして、他のものにかえる。
바뀌다,動詞,かわる【替わる・代わる】。いれかわる【入れ替わる・入れ代わる】,元のものが他のもので代替される。
바라다,動詞,ねがう【願う】。のぞむ【望む】,考えや希望がかなうことを期待する。
바라보다,動詞,ながめる【眺める】。みつめる【見詰める】。のぞむ【望む】,正面から見る。
바르다,動詞,はりつける【貼り付ける・張り付ける】,紙などに糊を塗って他の物の表面につける。
배달되다,動詞,はいたつされる【配達される】。でまえされる【出前される】,郵便物や商品、食べ物が届けられる。
배달하다,動詞,はいたつする【配達する】。でまえする【出前する】,郵便物や商品、食べ物を届ける。
배우다,動詞,まなぶ【学ぶ】。ならう【習う】,新しい知識を得る。
버리다,動詞,すてる【捨てる・棄てる】,不用のものを投げ出したり流したりする。
보내다,動詞,おくる【送る】。しおくる【仕送る】。おくりだす【送り出す】。やる【遣る】,人や物などを他のところに移動させる。
보이다,動詞,みえる【見える】 | みせる【見せる】,"目で対象の存在や見かけが分かるようになる。
 | 目で対象の存在や見かけが分かるようにする。"
부치다,動詞,おくる【送る】 。だす【出す】。さしだす【差し出す】,手紙や物などを届ける。
부탁하다,動詞,たのむ【頼む】。いらいする【依頼する】,何かをしてほしいと伝えて願う。
비교되다,動詞,ひかくされる【比較される】。くらべられる【比べられる】,二つ以上のものが並べられて、同じ点と違う点が見比べられる。
비교하다,動詞,ひかくする【比較する】。くらべる【比べる】,二つ以上のものを並べて、同じ点と違う点を見比べる。
비다,動詞,あく【空く】。からである【空である】,ある空間に誰も、もしくは何もない。
빠지다,動詞,おちる【落ちる】。おちこむ【落ち込む】。おちいる【陥る・落ち入る】。おぼれる【溺れる】,水やくぼみなどに落ちて中に入る。
빼다,動詞,ぬく【抜く】。はずす【外す】,中に入っていたり刺さっているものを外へ出す。
사귀다,動詞,つきあう【付き合う】。こうさいする【交際する】,知り合って、親しくなる。
사다,動詞,かう【買う】。こうにゅうする【購入する】,金を払って品物や権利などを自分のものにする。
사랑하다,動詞,あいする【愛する】。こいする【恋する】,相手に性的な魅力を感じて、熱烈に恋い慕う。
사업하다,動詞,じぎょうをする【事業をする】。ビジネスをする,経済的な利益を得るために、ある組職を経営する。
사용되다,動詞,しようされる【使用される】。つかわれる【使われる】。もちいられる【用いられる】,何かが必要なことや機能に合わせて使われる。
사용하다,動詞,しようする【使用する】。つかう【使う】。もちいる【用いる】,何かを必要なことや機能に合わせて使う。
샤워하다,動詞,シャワーをあびる【シャワーを浴びる】,雨のように水を噴出させる器具を使用して体を洗う。
서다,動詞,たつ【立つ】,人間や動物が地面に足をつけて体をまっすぐにする。
서두르다,動詞,いそぐ【急ぐ】,早く目的に達するように、慌ただしく行動する。
서비스하다,動詞,サービスする,製品を直接作らない、販売・観光・金融・医療などの活動をする。
세배하다,動詞,セベする【歳拝する】,お正月に目上の人に対するあいさつとしてお辞儀をする。
세수하다,動詞,せんめんする【洗面する】。せんがんする【洗顔する】。てあらいする【手洗いする】,湯水で手や顔を洗う。
세우다,動詞,たてる【立てる】。おこす【起こす】,人や動物の足を地面につかせ、体をまっすぐにさせる。立たせる。
세탁하다,動詞,せんたくする【洗濯する】。せんじょうする【洗浄する】。クリーニングする,汚れた衣服を洗う。
소개되다,動詞,しょうかいされる【紹介される】,両方の仕事がうまく進められるように努められる。
소개하다,動詞,しょうかいする【紹介する】,両方の仕事がうまく進められるように努める。
쇼핑하다,動詞,ショッピングする。かいものする【買い物する】,デパートや商店街を回りながら見物し、買い物をする。
수고하다,動詞,くろうする【苦労する】。ろうくする【労苦する】,何かをするのに力を尽くす。
수술하다,動詞,しゅじゅつする【手術する】。オペする,病気を治すために体の一部を切断したり縫ったりする。
수업하다,動詞,じゅぎょうする【授業する】,教師が生徒・学生に知識や技術を教える。
수영하다,動詞,すいえいする【水泳する】。およぐ【泳ぐ】,水の中を泳ぐ。
쉬다,動詞,やすむ【休む】。くつろぐ【寛ぐ】。きゅうそくする【休息する】。きゅうけいする【休憩する】 | こきゅうする【呼吸する】。いきをする【息をする】,疲れをとるために体を楽にする。 | 鼻や目で息を吸ったり吐いたりする。
쉬워지다,動詞,やさしくなる。かんたんになる【簡単になる】,やりづらくなかったり、難しくない状態になる。
시작되다,動詞,はじまる【始まる】,物事や行動の最初の段階が行われる。
시작하다,動詞,はじめる【始める】。てがける【手掛ける】。おこす【起す】,ある事や行動の初めの段階になったり、すること。また、そのような段階。
시키다,動詞,させる,ある仕事や行動をするように仕向ける。
싸우다,動詞,けんかする【喧嘩する】。あらそう【争う】。たたかう【戦う】。いさかう【諍う】,言葉や力で勝とうとする。
아르바이트하다,動詞,アルバイトする。バイトする,収入を得るために本業とは別の仕事を臨時にする。
얘기되다,動詞,はなされる【話される】。かたられる【語られる】。のべられる【述べられる】,ある事実・状態・現象・経験・考えなどについて誰かに話す言葉や文章になる。
얘기하다,動詞,はなす【話す】。かたる【語る】。のべる【述べる】,ある事実・状態・現象・経験・考えなどについて誰かに言う。
어울리다,動詞,わごうする【和合する】。ゆうわする【融和する】。あいわする【相和する】,互いに調和を成して一丸となる。
여쭙다,動詞,うかがう【伺う】,目上の人に申し上げる。
여행하다,動詞,りょこうする【旅行する】。たびする【旅する】,家を離れて他の地域や外国の各所を見物しながら巡る。
예매되다,動詞,よやくされる【予約される】,乗車券や入場券などが期日より早く前もって購入される。
예매하다,動詞,よやくする【予約する】,乗車券や入場券などを期日より早く前もって買っておく。
예습하다,動詞,よしゅうする【予習する】,今後学ぶことを前もって学習する。
예약되다,動詞,よやくされる【予約される】,席・部屋・物品などが使用できるように前もって約束される。
예약하다,動詞,よやくする【予約する】,席・部屋・物品などを使用するために前もって約束する。
오다,動詞,くる【来る】。ちかづく【近づく】。やってくる,何かが他の場所からこちらの方へ動く。
오르다,動詞,のぼる【上る・登る】。あがる【上がる・挙がる】,人・動物などが低い所から高い所へ、または下から上へ動く。
외우다,動詞,あんきする【暗記する】。おぼえる【覚える】。きおくする【記憶する】,言葉や文章を忘れないで頭の中に覚え込む。
외출하다,動詞,がいしゅつする【外出する】。でかける【出掛ける】,用事があって、自宅や勤め先などからよそへ出かける。
요리되다,動詞,りょうりされる【料理される】,料理が作られる。
요리하다,動詞,りょうりする【料理する】,料理を作る。
우선하다,動詞,ゆうせんする【優先する】,他のものより先に取り扱われたり特別に待遇される。
위치하다,動詞,いちする【位置する】,ある場所を占める。
유학하다,動詞,りゅうがくする【留学する】,外国に滞在して学ぶ。
유행되다,動詞,りゅうこうする【流行する】。はやる【流行る】,伝染病が世の中に広まる。
유행하다,動詞,りゅうこうする【流行する】。はやる【流行る】,伝染病が世の中に広まる。
의미하다,動詞,いみする【意味する】,言葉や文章、記号などがある物事を示す。
이기다,動詞,かつ【勝つ】。うちかつ【打ち勝つ】。まかす【負かす】,賭け事・試合・ケンカなどで、相手を制して良い結果を出す。
이리되다,動詞,こうなる,状態、形、性質などがこのようになる。
이사하다,動詞,ひっこす【引っ越す】,住んでいた所を離れて、他の所に移る。
이야기되다,動詞,はなされる【話される】。いわれる【言われる】。かたられる【語られる】。のべられる【述べられる】,ある事実や状態、現象、経験、考えなどが誰かに言葉や文章で伝わる。
이야기하다,動詞,はなす【話す】。いう【言う】。かたる【語る】。のべる【述べる】,ある事実や状態、現象、経験、考えなどを誰かに言葉で伝える。
이용되다,動詞,りようされる【利用される】,対象が必要に応じて役立つように使われる。
이용하다,動詞,りようする【利用する】,人や対象を自分の利益を得るための手段として使う。
이해되다,動詞,りかいできる【理解できる】。りょうかいできる【了解できる】,何かを悟り知るようになる。また、納得できる。
이해하다,動詞,りかいする【理解する】。りょうかいする【了解する】,何かを悟り知る。また、納得する。
자다,動詞,ねむる【眠る】。ねる【寝る】,目を閉じて体と精神の活動を止め、しばらく休んでいる状態になる。
자라다,動詞,そだつ【育つ】。せいちょうする【成長する】。のびる【伸びる】,生物が部分的に、または全体的に段々大きくなる。
자랑하다,動詞,じまんする【自慢する】。ほこる【誇る】,自分、または自分に関係のある人・物事が、人に褒められるようなものであると、公に言う。
자르다,動詞,きる【切る】。たちきる【断ち切る・断切る・裁ち切る・截ち切る】。カットする,物を絶ったり割ったりして、一部を分け離す。
자리하다,動詞,しめる【占める】。ある【在る・有る】。いちする【位置する】,一定の空間を占有する。
저금하다,動詞,ちょきんする【貯金する】,金をためたり、銀行などの金融機関に預けたりする。
조심하다,動詞,つつしむ【慎む】。きをつける【気を付ける】,悪いことが起こらないように、言葉や行動に注意する。
주무시다,動詞,おしずまる【御寝る】。およる【御寝る】。おやすみになる【お休みになる】,「寝る」の尊敬語。
주문하다,動詞,ちゅうもんする【注文する・註文する】。オーダーする,ある物を作って売る人に、その物の種類、数量、形、大きさなどを教えて、製造や配達を依頼する。
주사하다,動詞,ちゅうしゃする【注射する】,注射器で人や動物の体内に薬液を直接注入する。
주차하다,動詞,ちゅうしゃする【駐車する】,自動車などを一定の場所にとめておく。
지각하다,動詞,ちこくする【遅刻する】,決まった時間より遅れて出勤したり登校する。
지나가다,動詞,すぎる【過ぎる】。すぎゆく【過ぎ行く】。すぎさる【過ぎ去る】,時間が経ってある時期が終わる。
지나다,動詞,すぎる【過ぎる】。たつ【経つ】。へる【経る】,時間が経過して、その時期から遠ざかる。
지내다,動詞,すごす【過ごす】。くらす【暮らす】。せいかつする【生活する】,一定の程度や状態で生活したり生きていく。
지다,動詞,まける【負ける】。やぶれる【敗れる】,競技や戦いなどで相手に勝てない。
지르다,動詞,さけぶ【叫ぶ】。どなる【怒鳴る】,大声を出す。
지우다,動詞,けす【消す】。おとす【落とす】。なくす,書いたり描いたりしたもの、痕跡などを道具を利用して見えないように取り除く。
지키다,動詞,まもる【守る】。ほごする【保護する】。しゅびする【守備する】,財産、利益、安全などを失ったり外部から侵犯されることのないように監視し、防ぐ。
찌다,動詞,ふとる【太る】。にくがつく【肉が付く】	 | むす【蒸す】。むしあつい【蒸し暑い】,"体に肉が付いて太る。
 | まるで湯気に当たるように湿度が高くて暑さがこもる。"
쳐다보다,動詞,みあげる【見上げる】。あおぎみる【仰ぎ見る】,下から上の方を見る。
초대되다,動詞,しょうたいされる【招待される】,ある催し・会・行事などに来てくれるように招かれる。
초대하다,動詞,しょうたいする【招待する】。まねく【招く】。よぶ【呼ぶ】,催し・会・行事などに来てくれるように客を招く。
추다,動詞,おどる【踊る】。まう【舞う】,舞踊の動作をする。
추워지다,動詞,さむくなる【寒くなる】。ひえる【冷える】,温度が下がって空気が冷たくなるか、冷たく感じるようになる。
취소되다,動詞,とりけされる【取り消される】。ちゅうしされる【中止される】。キャンセルされる,すでに発表した事が無効となるか、約束したことや予定されている事が取りやめられる。
취소하다,動詞,とりけす【取り消す】。ちゅうしする【中止する】。キャンセルする,すでに発表した事を無効とするか、約束したことや予定されている事を取りやめる。
취직되다,動詞,しゅうしょくする【就職する】。しゅうぎょうする【就業する】。しゅうろうする【就労する】。しゅうしょくされる【就職される】。しゅうぎょうされる【就業される】。しゅうろうされる【就労される】,一定の職業を得て職場に行くようになる。
취직하다,動詞,しゅうしょくする【就職する】。しゅうぎょうする【就業する】。しゅうろうする【就労する】,一定の職業を得て職場に行く。
치다,動詞,うつ【打つ】。たたく【叩く】。なぐる【殴る】,手や他のものが何かに強くぶつかるようにする。
치료되다,動詞,ちりょうされる・じりょうされる【治療される】。りょうじされる【療治される】,病気やけがなどが治る。
치료하다,動詞,ちりょうする・じりょうする【治療する】。りょうじする【療治する】,病気やけがなどを治す。
켜다,動詞,つける【付ける・点ける】 | ひく【挽く・引く】,灯火やろうそくなどに火をつけたり、マッチやライターなどを利用して火を起こす。 | 鋸を使用して木材を縦の方向に切断する。
키우다,動詞,そだてる【育てる】。かう【飼う】。しいくする【飼育する】。つちかう【培う】。やしなう【養う】,動物・植物に手をかけて育つようにする。
타다,動詞,もえる【燃える】。ねんしょうする【燃焼する】 | のる【乗る】 | いれる【入れる】。まぜる【混ぜる】。くわえる【加える】。わる【割る】,火種や高熱によって炎が立ったり火がついて炎が広がる。 | 乗り物の中に入ったり、移動のために動物の上に上がる。 | 多量の液体に小量の液体や粉末を入れて混ぜる。
태어나다,動詞,うまれる【生まれる】。しゅっしょうする・しゅっせいする【出生する】。たんじょうする【誕生する】,人間や動物の子が一定の形となって母親の胎内から出る。
퇴근하다,動詞,たいきんする【退勤する】,職場で勤務が終わって、勤め先から退出する。
퇴원하다,動詞,たいいんする【退院する】,一定期間入院して治療を受けていた患者が、病院から出る。
튀기다,動詞,あげる【揚げる】,熱した油の中に材料を入れて、天ぷら・フライにする。
펴다,動詞,ひろげる【広げる】。ひらく【開く】,畳んだり巻いてあるものを開く。
포장되다,動詞,ほうそうされる【包装される】。つつまれる【包まれる】。ラッピングされる,物品が包まれたり、荷造りされたりする。
피다,動詞,さく【咲く】。ひらく【開く】,花のつぼみや葉などが開く。
피우다,動詞,さかせる【咲かせる】,花のつぼみや葉などを開かせる。
하다,動詞,する【為る】。やる【遣る】。なす【成す・為す】,ある行動や動作、活動などを行う。
헤어지다,動詞,わかれる【別れる】。はなれる【離れる】,一緒にいた人と離れる。
화나다,動詞,はらがたつ【腹が立つ】。むかつく,非常に気に障ったり、気にくわず、気分が悪くなる。
화내다,動詞,おこる【怒る】。はらがたつ【腹が立つ】,非常に気を悪くして、憤りを表わす。
회의하다,動詞,かいぎする【会議する】,何人もの人が集まって議論する。
흐르다,動詞,ながれる【流れる】,水などの液体が低い所に移動したり、ある場所を通って行ったりする。
희망하다,動詞,きぼうする【希望する】,未来のあることに対して期待を持つ。
가지다,動詞/補助動詞,もつ【持つ】。たずさえる【携える】 | て,何かを手に握ったり、身に付けたりする。 | 前の言葉の表す行動の結果や状態が維持されるという意を表す「補助動詞」。
계시다,動詞/補助動詞,いらっしゃる | いらっしゃる,地位の高い人や目上の人がどこかに住んでいることを表す尊敬語。 | 「いる」の尊敬語。前の言葉の表す行動を続けて行うか、その結果が続くという意を表す「補助動詞」。
드리다,動詞/補助動詞,さしあげる【差し上げる】 | あげる。さしあげる。お/ご-する,「与える」の謙譲語。何かを誰かに渡して持たせたり使わせたりする。 | 前の言葉が表す行動が他人の行動に影響することを表す謙譲語。
주다,動詞/補助動詞,あたえる【与える】。やる【遣る】。くれる【呉れる】。あげる【上げる】 | くれる【呉れる】。あげる【上げる】。やる【遣る】,物などを他人に渡して持たせたり使わせたりする。 | 前の言葉が表す行動が他人に影響するか、他人のための行動であることを表す語。
보다,動詞/補助動詞/副詞,みる【見る】。ながめる【眺める】 | みる | より,目で対象の存在や外見を知る。 | 前の言葉の表す行動を試すという意を表す「補助動詞」。 | 他の物と比べて一層。
부르다,動詞/形容詞,"よぶ【呼ぶ】。こえをかける【声を掛ける】
 | いっぱいだ【一杯だ】。まんぷくだ【満腹だ】","言葉や行動で他の人を来させたり、注意を引いたりする。
 | 飲食物を食べてお腹が満たされた感じがある。"
싸다,動詞/形容詞,つつむ【包む】 | やすい【安い】,物や人を紙や布などの中に入れてすっかり覆う。 | 値段が普通より低い。
쓰다,動詞/形容詞,かく【書く】 | かぶる【被る】 | つかう【使う】。もちいる【用いる】。しようする【使用する】 | にがい【苦い】,鉛筆やペンなどの筆記用具で紙などに線をひいて文字をしるす。 | 帽子やかつらなどを頭の上から覆う。 | 何かをするのに材料や道具、手段などを利用する。 | 薬の味のようだ。
차다,動詞/形容詞,みちる【満ちる・充ちる】。つまる【詰まる】  | ける【蹴る】。けとばす【蹴飛ばす】。けあげる【蹴上げる】。けりあげる【蹴り上げる】 | つける【着ける】。はめる	 | つめたい【冷たい】。ひえている【冷えている】,"ある空間がこれ以上入れないほどいっぱいになる。
 | 足を伸ばして勢いよく突いたり、突いて飛ばす。 | 物を腰・手首・足首などに下げたり着けたり通す。
 | 温度が低くて温かい感じがない。"
크다,動詞/形容詞,そだつ【育つ】。せいちょうする【成長する】 | おおきい【大きい】。たかい【高い】,動物・植物が育つ。 | 長さ・広さ・高さ・かさなどが普通の水準を超える。
가게,名詞,みせ【店】。しょうてん【商店】,小規模で品物を並べて売る店。
가겟집,名詞,みせ【店】。てんぽ【店舗】。しょうてん【商店】。ストア,店を開いて商売をする場所。
가격,名詞,かかく【価格】。ねだん【値段】。ねうち【値打ち】。プライス,品物の価値を金で表したもの。
가격표,名詞,かかくひょう【価格表】,商品の値段やサービスの価格が見やすいように書いておく表。
가구,名詞,かぐ【家具】,家の中で使われるベッドやクロゼット、食卓などのような器具。
가구점,名詞,かぐや【家具屋】。かぐてん【家具店】,家具を売る店。
가루비누,名詞,こなせっけん【粉石けん】,洗濯をするとき使う粉状態の石鹸。
가루약,名詞,こぐすり・こなぐすり【粉薬】,粉状態の薬。
가방,名詞,かばん。バッグ,何かを中に入れて手でさげたり肩にかけたりできるように作られた携帯用具。
가수,名詞,かしゅ【歌手】。うたいて【歌い手】,歌を歌うことを職業とする人。
가슴,名詞,むね【胸】。きょうぶ【胸部】,人間や動物の首と腹の間にある、体の前面の部分。
가요,名詞,かよう【歌謡】。うた【歌】,大勢の人が好んで歌う歌。
가운데,名詞,なか【中】。ちゅうおう【中央】。ちゅうかん【中間】,ある空間や事物の全ての端からほぼ同距離に離れている部分。真ん中。
가위,名詞,はさみ【鋏】,紙や布、髪の毛などを切る道具。
가위바위보,名詞,じゃんけん。じゃんけんぽん。じゃんけんぽい,互いに手を差し出し、指の出し方で順位や勝負などを決めること。
가을,名詞,あき【秋】,四季の一つで、夏と冬の間の季節。
가을날,名詞,あきのひ【秋の日】。あき【秋】。しゅうじつ【秋日】,秋の1日。または秋の天気。
가을바람,名詞,あきかぜ【秋風】,秋に吹く爽やかで涼しい風。
가을밤,名詞,しゅうや【秋夜】,秋の夜。
가을비,名詞,しゅうう・あきさめ【秋雨】,秋に降る雨。
가이드,名詞,ガイド,観光や旅行などで案内役を務める人。
가전,名詞,かでん【家電】,家庭で使う電気器具。
가족,名詞,かぞく【家族】,一家で共同生活をし、夫婦やその子供、兄弟などの関係で構成された集団。また、その構成員。
가족사진,名詞,かぞくしゃしん【家族写真】,家族で一緒に撮った写真。
거실,名詞,いま【居間】。リビングルーム。ちゃのま【茶の間】,西洋式の家で、家族が集まって生活したり、お客をもてなす中心空間。
거울,名詞,かがみ【鏡】,物体の形を映して見る、薄くて平たい道具。
거절,名詞,きょぜつ【拒絶】。きょひ【拒否】。ことわり【断わり】。えんりょ【遠慮】,人からの頼みや提案、贈り物などを受け入れないこと。
거짓말,名詞,うそ【嘘】。いつわり【偽り】,事実でないことを事実であるように偽って言う言葉。
게스트,名詞,ゲスト,放送番組に招待されて出る人。
게이머,名詞,ゲーマー,オンラインゲームやコンピューターゲームをする人。
게임,名詞,ゲーム。あそびごと【遊びごと】,ルールを決めて勝ち負けを決める遊び。
게임기,名詞,ゲームき【ゲーム機】,ゲームができるように作った電子機械。
게임방,名詞,ゲームルーム,コンピューターゲームができるように施設を取り付けているルーム。
겨울,名詞,ふゆ【冬】。とうき【冬季】,四季の中で最も寒く、秋と春の間の季節。
겨울나무,名詞,ふゆき・ふゆぎ【冬木】,冬になって葉が落ち尽くして枝だけの姿になった木。
겨울날,名詞,とうじつ・ふゆび【冬日】,冬の日。
겨울눈,名詞,ふゆめ・とうが【冬芽】,晩夏から秋に形成され、越冬した後、翌年の春に伸びる芽。
겨울바람,名詞,ふゆかぜ【冬風】。ふゆのかぜ【冬の風】,冬に吹く冷たい風。
겨울비,名詞,ふゆさめ【冬雨】。ふゆのあめ【冬の雨】,冬に降る雨。
겨울옷,名詞,ふゆふく【冬服】,冬に着用する衣服。
계단,名詞,かいだん【階段】,昇り降りするため、段をずらして配列した構造物。
계란,名詞,けいらん【鶏卵】。たまご【卵】。とりのこ【鳥の子】。おたま【御玉】,鶏の卵。
계산,名詞,けいさん【計算】。かんじょう【勘定】,数を数えたり、足し算・引き算・掛け算・割り算などの勘定をすること。
계절,名詞,きせつ【季節】,1年を自然現象に従って春夏秋冬に分けた一つの時期。
계획,名詞,けいかく【計画】。プラン,これからの事をじっくり考えて決めること。
고개,名詞,くび【首】,うなじやのどを含めた頭の部分。
고구마,名詞,サツマイモ,表面の皮は紫や紅色、内部は黄色を帯びていて、甘い味がする、植物の塊根。
고기,名詞,にく【肉】,食べ物として食べる動物の肉。
고등학교,名詞,こうこう【高校】。こうとうがっこう【高等学校】,中学校を卒業したり、中学校を卒業した水準の学力を備えていれば入学できる学校。
고등학생,名詞,こうこうせい【高校生】。こうとうがくせい【高等学生】,高校に通う生徒。
고모,名詞,おば【叔母・伯母】,父親の姉や妹。または、その人を呼ぶ語。
고모부,名詞,おじ【叔父・伯父】,父親の姉や妹の夫を指したり呼ぶ語。
고민,名詞,なやみ【悩み】,心の中に悩み事があって苦しみ、思いわずらうこと。
고속버스,名詞,こうそくバス【高速バス】,主に高速道路を利用して遠距離を早いスピードで走行するバス。
고양이,名詞,ねこ【猫】,暗い所でも目がよくきいて、ネズミ捕りが上手で、家の中で飼ったりする動物。
고장,名詞,こしょう【故障】,機械や装置などがきちんと作動しないこと。
고추,名詞,とうがらし【唐辛子】,指ほどのサイズで、最初は緑色だが、実ると赤くなるからい味のする実。
고추장,名詞,コチュジャン,唐辛子の粉を主な材料にして作った赤色の韓国固有の薬味。
고향,名詞,ふるさと・こきょう【故郷】。きょうり【郷里】。くに【国】,生まれ育った土地。
과거,名詞,かこ【過去】。むかし【昔】,過ぎ去った時。
과일,名詞,くだもの・かぶつ【果物】。フルーツ,りんご・梨・ブドウ・栗の実など、木の枝や幹に実る、食べられる果実。
과일나무,名詞,くだもののき【果物の木】。かじゅ【果樹】,果実を収穫するために栽培する木。
과일주,名詞,かじつしゅ【果実酒】,果物を材料に造った酒。
과자,名詞,かし【菓子】,小麦粉や米の粉などに牛乳、砂糖などを入れてこね、焼いたり揚げたりした間食。
교과서,名詞,きょうかしょ【教科書】,学校である科目を教える目的で作った本。
교사,名詞,きょうし【教師】,幼稚園、小学校、中学校、高校などで、資格を持って生徒を教える人。
교수,名詞,きょうじゅ【教授】,学問や技術などを教える行為。またはその方法。
교실,名詞,きょうしつ【教室】,幼稚園・小学校・中学校・高校で、教師が生徒を教える部屋。
교육,名詞,きょういく【教育】,個人の能力を育てるため、知識・教養・技術などを教えること。
교통,名詞,こうつう【交通】。つうこう【通行】,自動車・汽車・船・飛行機などの乗り物を利用して人や物資が行き来すること。
교통비,名詞,こうつうひ【交通費】。うんちん【運賃】。のりちん【乗り賃】,交通機関を利用するのにかかる費用。
교통사고,名詞,こうつうじこ【交通事故】,自動車や汽車などが他の交通機関と衝突したり歩行者を跳ねたりして起こる事故。
교환,名詞,こうかん【交換】,何かを別のものと取り替えること。
교회,名詞,きょうかい【教会】,イエスキリストを救世主として信奉する人々の共同体。また、その人々が集まって活動する場所。
구경,名詞,けんぶつ【見物】,興味や関心を持って見ること。
구두,名詞,くつ【靴】,スーツを着る時に履く革やビニールなどで作られた履き物。
구름,名詞,くも【雲】,空気中の小さい水滴や氷晶が白や灰色で集まって、空中に浮かんでいるもの。
구월,名詞,くがつ【九月】,1年12ケ月の中で9番目の月。
귀,名詞,みみ【耳】,人や動物の頭部の左右にあって、音を聞く身体の一部分。
귀걸이,名詞,みみかざり【耳飾り】。イヤリング。ピアス,耳につける装身具。
귀고리,名詞,みみかざり【耳飾り】。イヤリング。ピアス,耳につける装身具。
규칙,名詞,きそく【規則】,多くの人が守るように決めておいた法則。
그날,名詞,そのひ【その日】,前で言った日。
그다음,名詞,そのつぎ【その次】。そのあと･そのご【その後】,あるものに続いてくる時や場所、順番。
그담,名詞,そのつぎ【その次】。そのあと･そのご【その後】,あるものに続いてくる時や場所、順番。
그대로,名詞,そのまま,それ自体。
그동안,名詞,そのあいだ・そのかん【その間】。あいま【合間】,すでに話した分だけの期間。また、再び会ったり連絡するまでの一定の期間。
그때,名詞,そのとき【その時】。そのじき【その時期】,前述のある時。
그릇,名詞,うつわ【器】。しょっき【食器】。いれもの【入れ物】,食べ物を盛る道具。
그리기,名詞,えかき【絵描き・絵書き】。かいが【絵画】,絵をかくこと。
그림,名詞,え【絵】。かいが【絵画】,線や色彩で事物の模様やイメージなどを平面上に表したもの。
그림엽서,名詞,えはがき【絵葉書】,片面に絵や写真があるはがき。
그림일기,名詞,えにっき【絵日記】,主に子供が書く、絵や文章で表す日記。
그해,名詞,そのとし【その年】,過去のある年。
기간,名詞,きかん【期間】,ある一定の時から、他の一定の時に至るまでの間。
기름,名詞,あぶら【油・脂・膏】,よく燃え、水に溶けない、ぬるぬるとした液体。
기분,名詞,きぶん【気分】。きもち【気持ち】,不快・愉快・憂鬱・怒りなど感情の状態。
기쁨,名詞,よろこび【喜び】。うれしいきもち【うれしい気持ち】,気分がとても良く、楽しい感じ。
기숙사,名詞,りょう【寮】。きしゅくしゃ【寄宿舎】,学校や会社で、生徒・学生や職員が寝て食事するなどの生活ができるように提供する施設。
기억,名詞,きおく【記憶】。おもいで【思い出】。おぼえ【覚え】,以前の姿、事実、知識、経験などを忘れなかったり、再び思い出すこと。
기온,名詞,きおん【気温】。おんど【温度】,空気の温度。
기자,名詞,きしゃ【記者】,新聞や雑誌、放送などに載せる記事を取材して書いたり編集したりする人。
기차,名詞,きしゃ【汽車】。れっしゃ【列車】。でんしゃ【電車】,人や物を載せて燃料の力で鉄道の上を走る、長さの長い車。
기차역,名詞,きしゃのえき【汽車の駅】。えき【駅】,汽車に乗り降りする場所。
기차표,名詞,きしゃのきっぷ【汽車の切符】。きっぷ【切符】,汽車に乗るために金を出して買う切符。
기침,名詞,せき【咳】,肺からのどを通って空気が荒い音を出しながら急に出ること。
기침감기,名詞,せきかぜ【咳風邪】,咳のひどい風邪。
기타,名詞,ギター,表裏が平たく、真ん中が細くて長い桶に、六つの弦を結び、指で弾いて演奏する楽器。
기회,名詞,きかい【機会】。チャンス,何かするのに最も都合のいい時機や場合。
까만색,名詞,くろ【黒】。こくしょく【黒色】,光がない時の夜空や墨のような色。
나라,名詞,こっか【国家】,一定の領土、主権を持っている人々の社会的な組織。
나머지,名詞,あまり【余り】。よぶん【余分】。のこり【残り】。よじょう【余剰】,ある量を満たした後、余った分。
나무,名詞,き【木・樹】。じゅもく【樹木】,しっかりした幹に枝と葉がついた、数年間にわたって育つ植物。
나이,名詞,とし【年・歳】。ねんれい【年齢】。よわい【齢】,人や動植物などが生まれてから生きてきた年数。
나중,名詞,あと・のち【後】。のちほど【後程】,一定の時間が過ぎた後。
나흘,名詞,よっか【四日】。よっかかん【四日間】,日数が四つ。
내과,名詞,ないか【内科】,主に薬品で内蔵器官の疾病を治療する医学分野。また、その分野の病医院。
내년,名詞,らいねん【来年】。よくねん【翌年】。みょうねん【明年】。つぎとし【次年】,今年のすぐ次の年。
내용,名詞,ないよう【内容】。なかみ【中身】,器・箱などの中に入っているもの。
내일모레,名詞,あさって・みょうごにち【明後日】,明日の次の日。
네거리,名詞,じゅうじろ【十字路】。よつかど【四つ角】。こうさてん【交差点】,道が一ヵ所で四つの方向に分かれたところ。
네발,名詞,よつあし【四つ足】。しそく【四足】,動物や事物にぶら下がっている4本の足。
노란색,名詞,きいろ【黄色】。イエロー,ひよこやバナナと同じ色。
노래,名詞,うた【歌・唄】。かきょく【歌曲】,歌詞のある音楽。また、音楽を声に出して歌うこと。
