韓国語,品詞,日本語訳,定義
버스 정류장,名詞（句）,バスてい【バス停】。バスていりょうじょ【バス停留所】。バスストップ,バスが客の乗り降りのためにとまる一定の場所。
버스 카드,名詞（句）,バスカード。バスこうつうカード【バス交通カード】,バスの運賃を払うときに使われるカード。
사진 기자,名詞（句）,しゃしんきしゃ【写真記者】。カメラマン,新聞社や雑誌社などで報道写真を専門に撮る記者。
세계 지도,名詞（句）,せかいちず【世界地図】,世界を描いた地図。
여자 고등학교,名詞（句）,じょしこうとうがっこう【女子高等学校】。じょしこうこう【女子高校】。じょしこう【女子高】,女子学生だけ通っている高等学校。
여자 대학,名詞（句）,じょしだいがく【女子大学】。じょしだい【女子大】,女子学生だけ通っている大学。
여자 중학교,名詞（句）,じょしちゅうがっこう【女子中学校】。じょしちゅう【女子中】,女子学生だけ通っている中学校。
여자 친구,名詞（句）,かのじょ【彼女】。ガールフレンド,恋人関係にある女性の友人。
외국 영화,名詞（句）,がいこくえいが【外国映画】,他国で製作された映画。
외국인 등록증,名詞（句）,がいこくじんとうろくしょう【外国人登録証】,ある国の中に一定期間以上滞在する外国人に発給される身分証明書。
우편 번호,名詞（句）,ゆうびんばんごう【郵便番号】,郵便物の効率的な分類のために地域ごとにつけられた番号。
우편 요금,名詞（句）,ゆうびんりょうきん【郵便料金】,郵便物の差出人や受取人が郵便局に納付する料金。
체크 카드,名詞（句）,デビットカード,商品やサービスを購入した代金が預金口座の残高内で支払われるカード。
피 검사,名詞（句）,けつえきけんさ【血液検査】,血液を採って血液型または病気の有無などを調べる検査。
해외 관광,名詞（句）,かいがいかんこう【海外観光】,外国に行って、その国の風景・風習・文物などを見物すること。
휴대 전화,名詞（句）,けいたいでんわ【携帯電話】。けいたい【携帯】。ケータイ,持ち歩きながら使用できる、小型の無線電話機。
