word,pos,meaning,definition,target_codes
걸음,名詞,"あゆみ【歩み】。ほこう【歩行】
","両足を片方づつ交互に前に出して進む動作。
",25578
검사,名詞,"けんさ【検査】
",ある出来事や対象について良し悪しや是非などを調べること。,17236
검사하다,動詞,けんさする【検査する】,"ある出来事や対象について良し悪しや是非などを調べる。 
",25239
검은색,名詞,くろいろ【黒色】,光がない時の夜空や、墨のような色。,31663
검정말,名詞,"くろげ【黒毛】
","毛色の黒い馬。
",30060
검정색,名詞,くろいろ【黒色】,光がない時の夜空や墨のような色。,15935
검정콩,名詞,くろまめ【黒豆】,皮の色が黒い豆。,30061
것,依存名詞,こと。の。もの【物】,正確に指す対象が決まってないものや事実。,62835
겉,名詞,"おもて【表】。ひょうめん【表面】。そと【外】
","裏表のある物の外側の部分。
",31329
게스트,名詞,"ゲスト
",放送番組に招待されて出る人。,26780
게으르다,形容詞,"ぶしょうだ【不精だ】。ものぐさだ
","行動がのろく、身体を動かしたり仕事をするのを面倒くさがる。

",15948
게이머,名詞,ゲーマー,オンラインゲームやコンピューターゲームをする人。,28438
게임,名詞,"ゲーム。あそびごと【遊びごと】
","ルールを決めて勝ち負けを決める遊び。
",57276
게임기,名詞,"ゲームき【ゲーム機】
",ゲームができるように作った電子機械。,28442
게임방,名詞,ゲームルーム,コンピューターゲームができるように施設を取り付けているルーム。,28445
겨울,名詞,"ふゆ【冬】。とうき【冬季】
","四季の中で最も寒く、秋と春の間の季節。
",64367
겨울 방학,,"ふゆやすみ【冬休み】。とうききゅうぎょう【冬季休業】。とうききゅうか【冬季休暇】
","冬の一番寒い時期に学校の授業をしばらく休みにすること。また、その期間。
",28476
겨울나무,名詞,ふゆき・ふゆぎ【冬木】,冬になって葉が落ち尽くして枝だけの姿になった木。,28471
겨울날,名詞,とうじつ・ふゆび【冬日】,冬の日。,28472
겨울눈,名詞,ふゆめ・とうが【冬芽】,晩夏から秋に形成され、越冬した後、翌年の春に伸びる芽。,28473
겨울바람,名詞,ふゆかぜ【冬風】。ふゆのかぜ【冬の風】,冬に吹く冷たい風。,28475
겨울비,名詞,ふゆさめ【冬雨】。ふゆのあめ【冬の雨】,冬に降る雨。,28477
겨울옷,名詞,ふゆふく【冬服】,冬に着用する衣服。,28480
결과,名詞,けっか【結果】,"あることや過程が終わった後の状態や現象。
",60093
결석,名詞,"けっせき【欠席】
",学校や会議などの公式的な場に出ないこと。,15967
결석하다,動詞,けっせきする【欠席する】,"学校や会議などの公式的な場に出ない。
",15968
결심,名詞,"けっしん【決心】
",何かをしようと強く心に決めること。また、決めた心。,15973
결심하다,動詞,けっしんする【決心する】,"何かをしようと強く心に決める。
",62358
경기,名詞,"きょうぎ【競技】
",運動や技術などの能力の優劣を互いに競うこと。,60094
경기하다,動詞,きょうぎする【競技する】,"運動や技術などの能力の優劣を互いに競う。
",32357
계단,名詞,"かいだん【階段】
","昇り降りするため、段をずらして配列した構造物。
",23937
계란,名詞,けいらん【鶏卵】。たまご【卵】。とりのこ【鳥の子】。おたま【御玉】,鶏の卵。,15355
계산,名詞,"けいさん【計算】。かんじょう【勘定】
","数を数えたり、足し算・引き算・掛け算・割り算などの勘定をすること。
",26229
계산되다,動詞,けいさんされる【計算される】。かんじょうされる【勘定される】,"数が数えられたり、足し算・引き算・掛け算・割り算などの勘定が行われたりする。
",26232
계산하다,動詞,けいさんする【計算する】。かんじょうする【勘定する】,"数を数えたり、足し算・引き算・掛け算・割り算などの勘定をしたりする。
",62498
계속,副詞/名詞,"けいぞく【継続】
 | つづけて【続けて】
","絶えることなく続けていくこと。
 | 途切れずに続けて。
","17692,17695"
계속되다,動詞,つづく【続く】。けいぞくする【継続する】。れんぞくする【連続する】。じぞくする【持続する】 ,"絶えることなく続いていく。
",17698
계속하다,動詞,つづける【続ける】。けいぞくする【継続する】。れんぞくする【連続する】。じぞくする【持続する】,絶つことなく続けていく。,17727
계시다,動詞/補助動詞,いらっしゃる | いらっしゃる,地位の高い人や目上の人がどこかに住んでいることを表す尊敬語。 | 「いる」の尊敬語。前の言葉の表す行動を続けて行うか、その結果が続くという意を表す「補助動詞」。,"17749,61346"
계절,名詞,"きせつ【季節】
","1年を自然現象に従って春夏秋冬に分けた一つの時期。
",22537
고개,名詞,くび【首】,うなじやのどを含めた頭の部分。,62501
고구마,名詞,"サツマイモ
",表面の皮は紫や紅色、内部は黄色を帯びていて、甘い味がする、植物の塊根。,28058
고기,名詞,にく【肉】,食べ物として食べる動物の肉。,31685
곧,副詞,ただちに【直ちに】。すぐ,遅滞なくすぐに。,26802
곳,名詞,ところ・しょ【所】,一定の席や地域。,18661
공,名詞,"ボール。きゅう【球】
",運動や遊びなどに使われる、手足で扱うに適当な大きさの球形の用具。,19496
과거,名詞,"かこ【過去】。むかし【昔】
","過ぎ去った時。
",27244
관계,名詞,"かんけい【関係】
","2つ以上の人・事物・現象などが互いにかかわり合うこと。また、そのかかわり合い。
",21898
관계되다,動詞,かんけいする【関係する】。かかわる【関わる・係わる】,"影響したりされたりできるようにお互いにつながっている。
",23968
관광,名詞,かんこう【観光】,他の地方や国の景色、状況、風物などを見物すること。,22128
관광객,名詞,かんこうきゃく【観光客】,観光のために旅行する人。,22426
관광지,名詞,かんこうち【観光地】,美しい景色や文化遺産などがあって観光する価値があるところ。,22397
관광하다,動詞,かんこうする【観光する】,"ある地域を訪問し、景色・状況・風物などを見物する。 
",22394
관광호텔,名詞,かんこうホテル【観光ホテル】,観光地を旅行する人が快適に泊まることができるように施設を整えた比較的大きい規模の宿泊施設。,22431
광고,名詞,"こうこく【広告】
","世間一般に広く知らせること。
",62390
광고하다,動詞,こうこくする【広告する】,"世間一般に広く知らせる。
",31490
괜찮다,形容詞,なかなかいい,かなり良い方だ。,60097
교과서,名詞,きょうかしょ【教科書】,学校である科目を教える目的で作った本。,28629
교사,名詞,きょうし【教師】,幼稚園、小学校、中学校、高校などで、資格を持って生徒を教える人。,24037
교수,名詞,きょうじゅ【教授】,学問や技術などを教える行為。またはその方法。,31684
교실,名詞,"きょうしつ【教室】
","幼稚園・小学校・中学校・高校で、教師が生徒を教える部屋。
",64472
구,冠形詞/名詞/数詞,"く【句】 | く【区】
 | きゅう・く【九】	 | きゅう【九】","2つ以上の単語が集まって文の一部分をなす言葉の単位。 | 特別市・広域市および人口50万以上の大都市の洞の上の行政区域単位。
 | 8に1を足した数。
 | 9の。","37645,24085,34882,34898"
구경,名詞,"けんぶつ【見物】
","興味や関心を持って見ること。
",64484
구경하다,動詞,けんぶつする【見物する】,"興味や関心を持って見る。 
",62355
구두,名詞,くつ【靴】,スーツを着る時に履く革やビニールなどで作られた履き物。,26805
국,名詞,"しるもの・つゆもの【汁物】。すいもの【吸い物】
","肉・魚・野菜などの材料に水をたくさん入れて煮込んだ料理。
",36778
국내,名詞,こくない【国内】,国の内。,60099
국내 여행,,"こくないりょこう【国内旅行】
","自国内の地域へ出かける旅行。
",37687
국립 공원,,こくりつこうえん【国立公園】	,"美しい自然景観を保護する価値があると認められ、国が指定して管理を行う公園。
",37696
국립 박물관,,こくりつはくぶつかん【国立博物館】,国が設立して直接管理・運営する、歴史・芸術・科学・民俗などの遺物を収集・保管・展示する場所。,37700
군인,名詞,"ぐんじん【軍人】。へいし【兵士】
",軍隊に所属し兵器を取り扱うための訓練を受けて一定の任務を担当する人。,62241
굵다,形容詞,ふとい【太い】,長い物体の周囲が太いか、または幅が広い。,89458
굽다,動詞,やく【焼く】,"火に当てて食べられるようにする。
",60102
궁금하다,形容詞,しりたい【知りたい】,何かがとても知りたい。,35136
권,依存名詞,さつ【冊】,本やノートなどを数える単位。,62537
귀,名詞,"みみ【耳】
","人や動物の頭部の左右にあって、音を聞く身体の一部分。
",60201
귀걸이,名詞,みみかざり【耳飾り】。イヤリング。ピアス,耳につける装身具。,38146
귀고리,名詞,みみかざり【耳飾り】。イヤリング。ピアス,耳につける装身具。,38158
귀여워하다,動詞,かわいがる【可愛がる】,"自分より幼い人や動物を可愛いと思ってやさしく扱う。
",38317
귀엽다,形容詞,かわいい【可愛い】,見た目がきれいで、愛らしい。,38323
귀찮다,形容詞,めんどうだ【面倒だ】,嫌で、厄介だ。,37050
규칙,名詞,きそく【規則】,多くの人が守るように決めておいた法則。,35269
귤,名詞,みかん,"みかんの木の実で、皮を向いて食べる黄色、またはだいだい色のすっぱくて甘い、丸い果物。
",37057
그,代名詞/冠形詞,かれ【彼】 | その	,"話し手や聞き手を除いた人をさす語。 | 空間的に聞き手に近い人や物、または聞き手が考えている対象をさすときに使う語。
","62250,43883"
그거,代名詞,それ,"聞き手に近いものや、聞き手が考えているものをさす語。
",62251
그것,代名詞,"それ
","聞き手に近いものや、聞き手が考えているものをさす語。
",31953
그곳,代名詞,そこ	,"聞き手に近い場所をさす語。
",17207
그날,名詞,そのひ【その日】,"前で言った日。
",36674
그냥,副詞,"そのまま
","何もせず、そのまま。
",36241
그다음,名詞,そのつぎ【その次】。そのあと･そのご【その後】,"あるものに続いてくる時や場所、順番。
",36250
그담,名詞,そのつぎ【その次】。そのあと･そのご【その後】,"あるものに続いてくる時や場所、順番。
",36253
