word,pos,meaning,definition,target_codes
주,관형사/명사/의존 명사,ちゅう【注・註】 | しゅう【週】 | しゅたる【主たる】。おもな【主な】,文章や言葉のある部分に対し、その意味を詳しく理解できるように書いておいた文句。 | 月曜日から日曜日までの7日間を一区切りとして数える単位。 | 基本や中心となるさま。,"90815,46811,91765"
구십,관형사/수사,きゅうじゅう・くじゅう【九十】	 | きゅうじゅうの【九十の】	,"10の9倍になる数。
 | 九十になるさま。
","28637,89598"
네다섯,관형사/수사,よっつかいつつ【四つか五つ】	 | しご【四五】,"四つか五つくらいの数。
 | 4か5ぐらいの。四つか五つぐらいの。

","87362,88337"
다섯,관형사/수사,"ご【五】。いつつ【五つ】 | ご【五】。いつつ【五つ】
","四つに一つを足した数。
 | 四に一を足した数の。
","58111,58112"
마흔,관형사/수사,"しじゅう・よんじゅう【四十】	 | しじゅう・よんじゅう【四十】
","十の4倍になる数。
 | 10の4倍の数の。

","87909,88350"
사,관형사/수사,し・よん【四】	 | よんの【四の】	,"3に1を足した数。
 | 4の。四つの。
","58114,58116"
사십,관형사/수사,よんじゅう・しじゅう【四十】 | よんじゅうの・しじゅうの【四十の】	,"10の4倍になる数。 | 40の。四十の。
","58123,58128"
서른,관형사/수사,さんじゅう【三十】 | さんじゅう【三十】,10の3倍となる数。 | 10の3倍となる数の。,"31570,31571"
아홉,관형사/수사,"く・きゅう・ここ・ここの【九】
 | きゅう・く【九】
","八に一を足した数。
 | 8に1を足した数の。

","29609,88349"
아흔,관형사/수사,きゅうじゅう【九十】 | きゅうじゅう【九十】,10の9倍となる数。 | 10の9倍となる数の。,"93507,58144"
여덟,관형사/수사,やつ・やっつ【八つ】。はち【八】 | やつ・やっつ【八つ】。はち【八】,七に一を足した数。 | 七に一を足した数の。,"17284,17282"
여든,관형사/수사,はちじゅう【八十】 | はちじゅう【八十】,10の8倍となる数。 | 10の8倍となる数の。,"93503,67697"
여섯,관형사/수사,むつ・むっつ【六つ】。ろく【六】 | むつ・むっつ【六つ】。ろく【六】,五に一を足した数。 | 五に一を足した数の。,"29614,72384"
예순,관형사/수사,ろくじゅう【六十】 | ろくじゅう【六十】,10の6倍となる数。 | 10の6倍となる数の。,"87910,58134"
오,관형사/수사,"ご【五】	 | いつつの【五つの】
","4に1を足した数。
 | 五つの。","31635,31645"
오십,관형사/수사,"ごじゅう【五十】	 | ごじゅう【五十】
","10の5倍にあたる数。
 | 50の。","26889,89596"
이십,관형사/수사,にじゅう【二十】 | にじゅう【二十】,10の2倍の数。 | 20の。,"31648,31837"
세,관형사/의존 명사,"さん・み・みっつ・みつ【三】
 | さい【歳・才】	","三つの。
 | 年齢を数える単位。
","17194,64008"
거기,대명사,そこ。そちら。	,"聞き手に近い場所をさす語。
",62258
그거,대명사,それ,"聞き手に近いものや、聞き手が考えているものをさす語。
",62251
그것,대명사,"それ
","聞き手に近いものや、聞き手が考えているものをさす語。
",31953
그곳,대명사,そこ	,"聞き手に近い場所をさす語。
",17207
그분,대명사,そのかた【その方】。あのかた【あの方】,その人やあの人を深い敬意をこめていう語。,60635
그쪽,대명사,そちら。そっち。そちらがわ【そちら側】。むこう【向こう】	,"聞き手に近い場所や方向をさす語。
",17206
나,대명사,わたし【私】。ぼく【僕】。おれ【俺】。じぶん【自分】	,"話し手が友人や目下の人に対し、自分をさす語。
",60931
내,대명사,わたし【私】。ぼく【僕】。おれ【俺】。じぶん【自分】,一人称代名詞「나」に主格助詞「가」があとにつく場合の形。,41385
너,대명사,おまえ【お前】。きみ【君】	,"聞き手が友人か目下の人である場合、その聞き手をさす語。
",64390
너희,대명사,おまえたち【お前たち】。きみたち【君たち】。おまえら【お前等】。きみら【君等】,"聞き手が複数の友人か目下の人たちである場合、その聞き手をさす語。
",61180
누구,대명사,だれ【誰】	,"知らない人をさす語。
",62078
무엇,대명사,なに【何】	,"未知の事実や事物を指していう語。
",17199
여기,대명사,ここ	,"話し手に近い所をさしていう語。
",17863
여러분,대명사,みなさん【皆さん】。みなさま【皆様】,複数の聞き手がいる場合、その聞き手たちを敬って呼ぶ語。,28028
우리,대명사,わたくしたち【私達】,話し手が自分と聞き手、またそれを含めた複数の人たちを指す語。,17182
이거,대명사,これ【此れ】,話し手の近くにあるものや話し手が考えていることを指す語。,71128
이것,대명사,"これ
","話し手の近くにあるか、話し手が考えている対象を指す語。
",44878
이곳,대명사,ここ【此処・此所・此・是・爰・茲】。こちら【此方】。こっち【此方】,話し手に近いところを指す語。,71130
이분,대명사,このかた【此の方】,「この人」を深い敬意をこめていう語。,71152
이쪽,대명사,こち【此方】。こちら【此方】。こっち【此方】,話し手に近い所や方向を指す語。,71694
저거,대명사,あれ【彼】,話し手と聞き手から遠く離れているものを指す語。,29739
저것,대명사,あれ【彼】,話し手と聞き手から遠く離れているものを指す語。,31952
저곳,대명사,あそこ【彼処・彼所】。あちら【彼方】。あっち【彼方】,話し手や聞き手から遠く離れているところを指す語。,71217
저기,대명사,あそこ【彼処・彼所】。あちら【彼方】。あっち【彼方】,"話し手や聞き手から遠く離れているところを指す語。 ",71218
저분,대명사,あのかた【彼の方】,「あの人」を深い敬意をこめていう語。,74869
저쪽,대명사,あち【彼方】。あちら【彼方】。あっち【彼方】,"話し手と聞き手から遠く離れた所や方向を指す語。
",75761
저희,대명사,わたくしたち【私達】。じぶんたち【自分達】,話し手が目上の人に自分を含めた複数の人を指していう語。,71231
제,대명사/품사 없음,わたくし【私】 | わたくしの【私の】,話し手が自分をへりくだっていう語である「저」に助詞「가」がつく時の形。 | 話し手が自分自身をへりくだっていう語である「저」に「의」が付いた「저의」の縮約形。,"75821,75826"
가까워지다,동사,ちかづく【近付く】。ちかくなる【近くなる】,ある場所から他の場所までの距離が短くなる。,59888
가까이하다,동사,したしむ【親しむ】。ちかよる【近寄る】,親しくする。,28056
가다,동사,ゆく・いく【行く】。うつる【移る】,ある場所から他の場所へ移動する。,27500
가르치다,동사,おしえる【教える】,知識や技術などを説明して習得させる。,62255
가리키다,동사,さす【指す】。しめす【示す】,指や物をある方向や対象に向けて、それを知らせる。,17882
가벼워지다,동사,かるくなる【軽くなる】,軽い状態になる。,91176
가위질하다,동사,はさみをいれる【はさみを入れる】。はさみできる【はさみで切る】,はさみで切ったり、切り取る。,16353
가져가다,동사,もっていく【持っていく】。はこぶ【運ぶ】,あるものをある場所から他の場所へ移していく。,53811
가져오다,동사,もってくる【持ってくる】。はこぶ【運ぶ】,あるものをある場所から他の場所へ移してくる。,53818
거절되다,동사,"きょぜつされる【拒絶される】。きょひされる【拒否される】。ことわられる【断られる】。えんりょされる【遠慮される】 ","頼みや提案、贈り物などが受け入れられない。 ",20475
