word,pos,meaning,definition,tags,target_codes
갈고리,名詞,かぎ【鉤】,何かを引っ掛けたり、引っ張るのに使う、先が尖って曲がっている道具。,名詞 level2,15261
갈다,動詞,とりかえる【取り替える・取り換える】。はりかえる【張り替える】,既存の物を取り除いて、他の物に替える。,動詞 level2,59937
갈대밭,名詞,あしはら・あしわら・よしはら・よしわら【葦原】,あしの多く群がっている所。,名詞 level2,14689
갈대숲,名詞,あしのしげみ【葦の茂み】,あしの多く生い茂っている森。,名詞 level2,14690
갈등,名詞,かっとう【葛藤】,互いの意見が食い違って、対立すること。,名詞 level2,16223
갈등하다,動詞,かっとうする【葛藤する】,互いの意見が食い違って、対立する。,動詞 level2,14691
갈라지다,動詞,われる【割れる】。さける【裂ける】。ひびがはいる【ひびが入る】,一つだったものに割れ目ができたり、隙間が生じて裂ける。,動詞 level2,14701
갈림길,名詞,"わかれみち【別れ道】。わかれめ【分かれ目】
","いくつかに分かれる道。また、道が分かれる所。
",名詞 level2,14714
갈매기,名詞,カモメ【鴎】,腹部は白く、翼と背部は灰色で、魚をとらえて食べる海辺にすむ水鳥。,名詞 level2,14719
갈비뼈,名詞,ろっこつ【肋骨】。あばらぼね【あばら骨】,"胸の部分にある弓模様の12対の骨。
",名詞 level2,14729
갈비씨,名詞,やせっぽち【痩せっぽち】,"骨だけが残っているかのように、非常にやせている人をあざけっていう語。
",名詞 level2,14737
갈빗대,名詞,,"胸の部分にある弓模様の数個の長い骨。
",名詞 level2,14742
갈수록,副詞,ますます【益益】。しだいに【次第に】。だんだん【段段】,時間がたつにつれて次第にもっと。,副詞 level2,15434
갈아입히다,動詞,きがえさせる【着替えさせる】,着ている服を脱がせて、別の服に替えて着せる。,動詞 level2,14769
갈이,名詞,かえ【代え・替え・換え】,古びたり、使えなくなった部分を新しいものに取り替えること。,名詞 level2,14782
갈증,名詞,かわき【渇き】,喉がかわいて水が飲みたくなる感じ。,名詞 level2,14864
갈치,名詞,たちうお【太刀魚】,長くて平たい銀白色の海魚。,名詞 level2,14812
감,名詞,"きじ【生地】。じ【地】
","衣服や布団などの材料に使う布。
",名詞 level2,15088
감각,名詞,かんかく【感覚】,目、鼻、耳、舌、肌を通じて刺激を感じること。,名詞 level2,15430
감각하다,動詞,かんかくする【感覚する】。かんじる【感じる】。ちかくする【知覚する】,目、鼻、耳、舌、肌を通じて刺激を感じる。,動詞 level2,15159
감감무소식,名詞,おんしんふつう【音信不通】。しょうそくふめい【消息不明】。なしのつぶて【梨のつぶて】,消息や連絡が全くない状態。,名詞 level2,15242
감귤,名詞,かんきつ【柑橘】,黄色の皮に包まれ、酸味があって甘酸っぱい冬の果物。,名詞 level2,15357
감기다,動詞,"とざされる【閉ざされる】
 | とじさせる【閉じさせる】 | あらわせる【洗わせる】","まぶたで目が覆われる。
 | 人のまぶたを下して目をふさぐ。 | 髪や体を水で洗わせる。",動詞 level2,"15363,15365,15366"
감나무,名詞,かきのき【柿の木】,柿の実る木。,名詞 level2,17217
감다,動詞,まく【巻く】,ある物を他の物に絡み付ける。,動詞 level2,16274
감독,名詞,"かんとく【監督】
","仕事や人が間違わないように見て取り締まること。
",名詞 level2,15979
감독하다,動詞,かんとくする【監督する】,仕事や人が間違わないように見て取り締まる。,動詞 level2,18910
