word,pos,meaning,definition,tags,target_codes
약해져-,品詞なし,,,品詞なし other,79972
약해지-,品詞なし,,,品詞なし other,93115
얄미우-,品詞なし,,,品詞なし other,79973
얄미워-,品詞なし,,,品詞なし other,79974
얄밉-,品詞なし,,,品詞なし other,93122
양념장,名詞,たれ【垂れ】,食べ物の味を良くするためにいろいろな薬味を入れて作った液体。,名詞 other,600180
양띠,名詞,ひつじどし【未年】,未年に生まれた人の干支。,名詞 other,68732
양식장,名詞,ようしょくじょう【養殖場】,魚や海苔、わかめ、キノコなどを人工的に育てるところ。,名詞 other,600181
얘,名詞,イェ,ハングル字母の「ㅒ」の名称。,名詞 other,68779
어,名詞,オ,ハングル字母の「ㅓ」の名称。,名詞 other,68780
어-,品詞なし,,,品詞なし other,79975
어거지,名詞,,,名詞 other,92297
어겨-,品詞なし,,,品詞なし other,79976
어기-,品詞なし,,,品詞なし other,93123
어두우-,品詞なし,,,品詞なし other,81432
어두워-,品詞なし,,,品詞なし other,81433
어두워져-,品詞なし,,,品詞なし other,79978
어두워지-,品詞なし,,,品詞なし other,93124
어둡-,品詞なし,,,品詞なし other,93125
어때-,品詞なし,,,品詞なし other,79979
어떠-,品詞なし,,,品詞なし other,79980
어떻-,品詞なし,,,品詞なし other,93126
어떻든,副詞,どうであれ。ともかく,意見や物事の都合、状態などがどうなっていても。,副詞 other,600183
어려-,品詞なし,,,品詞なし other,"79981,93311"
어려우-,品詞なし,,,品詞なし other,79983
어려워-,品詞なし,,,品詞なし other,79985
어려워져-,品詞なし,,,品詞なし other,79987
어려워지-,品詞なし,,,品詞なし other,93310
어렵-,品詞なし,,,品詞なし other,93127
어리-,品詞なし,,,品詞なし other,"93128,93129"
어리굴젓,名詞,オリグルジョッ。あじつけカキのしおから【味付けカキの塩辛】,塩漬けにした生ガキに唐辛子の粉などの薬味を入れて和えたもの。,名詞 other,70499
어린이날,名詞,こどものひ【こどもの日】,"子供の幸福のために定めた祝日。5月5日。
",名詞 other,67872
언어권,名詞,げんごけん【言語圏】,同じ言語が使われる範囲や地域。,名詞 other,600187
얼-,品詞なし,,,品詞なし other,93133
얼려-,品詞なし,,,品詞なし other,79994
얼리-,品詞なし,,,品詞なし other,93134
얼음찜질,名詞,れいしっぷ【冷湿布】,氷を入れた袋を体の一部に当てて熱を下げること。,名詞 other,600188
엄청나-,品詞なし,,,品詞なし other,79995
업무상,名詞,ぎょうむじょう【業務上】,引き受けてやる仕事と関わる側面。,名詞 other,600191
업종별,名詞,ぎょうしゅべつ【業種別】,職業や事業の種類による区別。,名詞 other,600192
없애-,品詞なし,,,品詞なし other,79997
없어져-,品詞なし,,,品詞なし other,81435
없어지-,品詞なし,,,品詞なし other,93135
엎드려-,品詞なし,,,品詞なし other,79999
엎드리-,品詞なし,,,品詞なし other,93136
에,助詞/名詞,エ | に,ハングル字母の「ㅔ」の名称。 | 前の言葉が場所や席であることを表す助詞。,助詞 名詞 other,"68781,86572"
에 관한,品詞なし,にかんする【に関する】,後ろの名詞を修飾し、前の名詞が後ろの名詞の対象になることを表す表現。,品詞なし other,78648
에 대한,品詞なし,にたいする【に対する】。についての,後ろの名詞を修飾し、前の名詞が後ろの名詞の対象になることを表す表現。,品詞なし other,84825
에 비하면,品詞なし,にくらべると【に比べると】。にくらべれば【に比べれば】,前の言葉と比べてみると後ろのような結果があることを表す表現。,品詞なし other,86274
에 비하여,品詞なし,にくらべて【に比べて】,前の言葉と比べてみると後ろの内容のような結果があることを表す表現。,品詞なし other,86275
에게,助詞,に,物の所属や位置を表す助詞。,助詞 other,69713
에게다,助詞,に,ある行動が影響を及ぼす対象であることを強調するときに用いる助詞。,助詞 other,80293
에게다가,助詞,に,ある行動が影響を及ぼす対象であることを強調するときに用いる助詞。,助詞 other,86573
에게로,助詞,に,ある行動の対象であることを表す助詞。,助詞 other,70320
에게서,助詞,から,ある行動が始まる対象であることを表す助詞。,助詞 other,70321
에는,助詞,には,前の言葉が示す場所や時間を強調したり対照したりする意を表す助詞。,助詞 other,80294
에다,助詞,に,一定の位置を表す助詞。,助詞 other,73013
에다가,助詞,に,一定の位置を表す助詞。,助詞 other,73014
