word,pos,meaning,definition,target_code
가,명사,はし【端】。ふち【縁】。へ【辺】。へん【辺】,ある場所や物の縁または端の部分。,27733
가,명사,か【可】,会議などである案件に対し評決を行う際、賛成するという表示。,27741
가가호호,부사,"いっけんいっけん【一軒一軒】
","家ごとに。
",14883
가감,명사,かげん【加減】,"足したり引くこと。
",14890
가감승제,명사,かげんじょうじょ【加減乗除】,"足し算、引き算、掛け算、割り算の計算。
",14951
가감하다,동사,かげんする【加減する】,足したり引いたりする。,14956
가객,명사,うたいて【歌い手】,昔、詩作りが上手な人。または歌が上手な人。,14965
가건물,명사,かりのたてもの【仮の建物】,"臨時に使うために建てた建物。
",14997
가격,명사,こうげき【攻撃】。アタック,手や拳骨、棒などで相手を打ったり叩いたりすること。,15047
가격하다,동사,"こうげきする【攻撃する】。アタックする
","拳骨や棒などで相手を打ったり叩いたりする。 
",27774
가결,명사,かけつ【可決】,会議で提出された案件を良いと認めて決定すること。,27869
가결되다,동사,かけつされる【可決される】,会議で提出された案件が良いと認められて決定される。,27877
가결하다,동사,かけつする【可決する】,会議で提出された案件を良いと認めて決定する。,27884
가계,명사,かけい【家系】。ちすじ【血筋】。いえすじ【家筋】。けっとう【血統】,祖先から子孫に受け継がれる家の系統。,27889
가계,명사,かけい【家計】,経済単位としての家庭。,27894
가계부,명사,かけいぼ【家計簿】,"一家の収入と支出を記録した帳簿。
",27922
가계비,명사,かけいひ【家系費】。せいかつひ【生活費】,ある家の家族が暮らしていく上でかかる費用。,27923
가계 소득,,かけいしょとく【家計所得】	,"ある一世帯の所得全体。
",27926
가곡,명사,かきょく【歌曲】。うた【歌】,定型詩に節をつけて笛やカヤグム、コムンゴなどのような伝統楽器に合わせて歌う韓国古来の声楽曲。,27940
가곡집,명사,かきょくしゅう【歌曲集】,歌曲を集めておいた本やレコード。,27944
가공,명사,かこう【加工】,技術や力などを利用して原料や材料を新しい製品につくること。 ,27947
가공,명사,かくう【架空】,事実でないことを嘘や想像でつくり出すこと。,27949
가공되다,동사,かこうされる【加工される】,技術や力などによって原料や材料が新しい製品につくられる。 ,27950
가공법,명사,かこうほう【加工法】,食品や物などを加工する方法。,27961
가공업,명사,かこうぎょう【加工業】,技術や力を利用して原料や材料を新しい製品につくる工業。,27971
가공인물,명사,かくうのじんぶつ【架空の人物】,実際には存在しない、想像によってつくり出された人物。,27979
가공적,명사,かくうてき【架空的】,事実でないことを嘘や想像によってつくり出したこと。,27985
가공적,관형사,かくうてき【架空的】,事実でないことを嘘や想像でつくり出したさま。,27977
가공하다,동사,かこうする【加工する】,技術や力などを利用して原料や材料を新しい製品につくる。 ,28027
가공하다,동사,かくうでつくる【架空でつくる】,事実でないことを嘘や想像によってつくり上げる。 ,28032
