word,pos,meaning,definition,tags,target_codes
-가,接辞,がい【街】。がいく【街区】。ちょうめ【丁目】	 | か【価】	,"「街」または「地域」の意を付加する接尾辞。 
 | 「値段」や「価格」の意を付加する接尾辞。
",接辞 level3,"72341,72343"
-각,接辞,かく【閣】	,"「大きくて高く建てた家」の意を付加する接尾辞。 
",接辞 level3,72345
-거리,接辞,,"「卑下」の意を付加する接尾辞。
 | おき【置き】	「一定の間隔をおいて再び現れる間」の意を付加する接尾辞。
",接辞 level3,"91775,91776"
-겐,品詞なし,には,"「連結語尾」「-게」と助詞「는｣の組み合わせである「-게는｣の縮約形。
",品詞なし level3,66978
-결,接辞,,"「通り過ぎる間」または「途中」の意を付加する接尾辞。
",接辞 level3,72351
-경,接辞,ころ・ごろ【頃】,「その時間に近い時」または「その日にちに近い時」の意を付加する接尾辞。,接辞 level3,72353
-계,接辞,けい【系】	 | とどけ【届け】	 | かかり・がかり【係り】	 | かい【界】	 | けい【計】	,"「系統」の意を付加する接尾辞。 
 | 「文面」の意を付加する接尾辞。 
 | 「事務や作業分担の単位」の意を付加する接尾辞。 
 | 「分野」または「領域」の意を付加する接尾辞。
 | 「そのものの程度を計る器具」の意を付加する接尾辞。 
",接辞 level3,"72356,72357,72358,72359,72360"
-고,接辞,たか・だか【高】	,"「量」または「額」の意を付加する接尾辞。 
",接辞 level3,72363
-공,接辞,こう【工】	,"「技術者」または「労働者」の意を付加する接尾辞。
 | 「敬う」意を付加する接尾辞。
",接辞 level3,"88840,88841"
-곶,接辞,みさき【岬】	,"「海に細長く突き出ている陸地」の意を付加する接尾辞。
",接辞 level3,92114
-과,接辞,か【課】	,"「業務部署」の意を付加する接尾辞。 
",接辞 level3,72366
-관,接辞,かん【官】	,"「公的な職責の担当者」の意を付加する接尾辞。 
",接辞 level3,72367
-광,接辞,"こう【鉱】
","「鉱石」または「鉱山」の意を付加する接尾辞。 
",接辞 level3,72331
-구,接辞,ぐ【具】	,"「用具」または「道具」の意を付加する接尾辞。 
",接辞 level3,72334
-국,接辞,きょく【局】	 | こく【国】	,"「業務部署」の意を付加する接尾辞。
 | 「国」の意を付加する接尾辞。 
",接辞 level3,"72370,72371"
-군,接辞,ぐん【群】	,"「群れ」または「集まり」の意を付加する接尾辞。
",接辞 level3,72373
가,名詞,はし【端】。ふち【縁】。へ【辺】。へん【辺】 | か【可】,ある場所や物の縁または端の部分。 | 会議などである案件に対し評決を行う際、賛成するという表示。,名詞 level3,"27733,27741"
가가호호,副詞,"いっけんいっけん【一軒一軒】
","家ごとに。
",副詞 level3,14883
가감,名詞,かげん【加減】,"足したり引くこと。
",名詞 level3,14890
가감승제,名詞,かげんじょうじょ【加減乗除】,"足し算、引き算、掛け算、割り算の計算。
",名詞 level3,14951
가감하다,動詞,かげんする【加減する】,足したり引いたりする。,動詞 level3,14956
가객,名詞,うたいて【歌い手】,昔、詩作りが上手な人。または歌が上手な人。,名詞 level3,14965
가건물,名詞,かりのたてもの【仮の建物】,"臨時に使うために建てた建物。
",名詞 level3,14997
가격,名詞,こうげき【攻撃】。アタック,手や拳骨、棒などで相手を打ったり叩いたりすること。,名詞 level3,15047
가격하다,動詞,"こうげきする【攻撃する】。アタックする
","拳骨や棒などで相手を打ったり叩いたりする。 
",動詞 level3,27774
가결,名詞,かけつ【可決】,会議で提出された案件を良いと認めて決定すること。,名詞 level3,27869
가결되다,動詞,かけつされる【可決される】,会議で提出された案件が良いと認められて決定される。,動詞 level3,27877
가결하다,動詞,かけつする【可決する】,会議で提出された案件を良いと認めて決定する。,動詞 level3,27884
가계,名詞,かけい【家系】。ちすじ【血筋】。いえすじ【家筋】。けっとう【血統】 | かけい【家計】,祖先から子孫に受け継がれる家の系統。 | 経済単位としての家庭。,名詞 level3,"27889,27894"
가계 소득,,かけいしょとく【家計所得】	,"ある一世帯の所得全体。
",level3,27926
가계부,名詞,かけいぼ【家計簿】,"一家の収入と支出を記録した帳簿。
",名詞 level3,27922
가계비,名詞,かけいひ【家系費】。せいかつひ【生活費】,ある家の家族が暮らしていく上でかかる費用。,名詞 level3,27923
